county,precinct,office,district,party,candidate,votes,mail,provisional
Cache,LOGAN 01,Registered Voters,,,,346,,
Cache,LOGAN 01-CSD,Registered Voters,,,,226,,
Cache,LOGAN 02,Registered Voters,,,,681,,
Cache,LOGAN 03,Registered Voters,,,,792,,
Cache,LOGAN 04,Registered Voters,,,,689,,
Cache,LOGAN 05,Registered Voters,,,,963,,
Cache,LOGAN 06,Registered Voters,,,,668,,
Cache,LOGAN 07,Registered Voters,,,,371,,
Cache,LOGAN 08,Registered Voters,,,,351,,
Cache,LOGAN 09,Registered Voters,,,,523,,
Cache,LOGAN 10,Registered Voters,,,,418,,
Cache,LOGAN 11,Registered Voters,,,,447,,
Cache,LOGAN 12,Registered Voters,,,,312,,
Cache,LOGAN 13,Registered Voters,,,,837,,
Cache,LOGAN 14,Registered Voters,,,,574,,
Cache,LOGAN 15,Registered Voters,,,,498,,
Cache,LOGAN 16,Registered Voters,,,,661,,
Cache,LOGAN 17,Registered Voters,,,,697,,
Cache,LOGAN 18,Registered Voters,,,,498,,
Cache,LOGAN 19,Registered Voters,,,,501,,
Cache,LOGAN 20,Registered Voters,,,,775,,
Cache,LOGAN 21,Registered Voters,,,,531,,
Cache,LOGAN 22,Registered Voters,,,,984,,
Cache,LOGAN 23,Registered Voters,,,,484,,
Cache,LOGAN 24,Registered Voters,,,,379,,
Cache,LOGAN 25,Registered Voters,,,,734,,
Cache,LOGAN 26,Registered Voters,,,,684,,
Cache,LOGAN 27-17C,Registered Voters,,,,2,,
Cache,LOGAN 27-CSD,Registered Voters,,,,135,,
Cache,LOGAN 27,Registered Voters,,,,786,,
Cache,LOGAN 28,Registered Voters,,,,259,,
Cache,LOGAN 29,Registered Voters,,,,893,,
Cache,LOGAN 29-CSD,Registered Voters,,,,3,,
Cache,LOGAN 30,Registered Voters,,,,1061,,
Cache,LOGAN 31,Registered Voters,,,,673,,
Cache,LOGAN 32,Registered Voters,,,,406,,
Cache,LOGAN 33,Registered Voters,,,,695,,
Cache,LOGAN 33-5,Registered Voters,,,,197,,
Cache,LOGAN 33-CSD,Registered Voters,,,,56,,
Cache,AMALGA,Registered Voters,,,,296,,
Cache,BENSON,Registered Voters,,,,418,,
Cache,CLARKSTON,Registered Voters,,,,453,,
Cache,CORNISH,Registered Voters,,,,165,,
