county,precinct,office,district,candidate,party,election_day,absentee,mail,votes
Box Elder,Beaver Dam/Collinston,STRAIGHT PARTY,,Registered Voters,NP,206,,,
Box Elder,Beaver Dam/Collinston,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,,0
Box Elder,Beaver Dam/Collinston,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,,0
Box Elder,Beaver Dam/Collinston,STRAIGHT PARTY,,DEMOCRATIC,DEM,4,0,,4
Box Elder,Beaver Dam/Collinston,STRAIGHT PARTY,,REPUBLICAN,REP,34,1,,35
Box Elder,Beaver Dam/Collinston,STRAIGHT PARTY,,JUSTICE,JUS,0,0,,0
Box Elder,Beaver Dam/Collinston,STRAIGHT PARTY,,GREEN,GRN,0,0,,0
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,Registered Voters,NP,206,,,
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,JILL STEIN,GRN,1,0,,1
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,GLORIA LA RIVA,PSL,0,0,,0
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,MITT ROMNEY,REP,167,3,,170
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,BARACK OBAMA,DEM,11,0,,11
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,GARY JOHNSON,LIB,0,0,,0
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,VIRGIL GOODE,CON,1,0,,1
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,"ROSS C. \ROCKY\"" ANDE""",JUS,1,0,,1
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,ROSEANNE BARR,NP,0,0,,0
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,STEPHEN DURHAM,NP,0,0,,0
Box Elder,Beaver Dam/Collinston,U.S. PRESIDENT,,JILL REED,NP,0,0,,0
