county,precinct,office,district,candidate,party,Polling,Provisional,Absentee,Paper,Early,Mail,votes
Carbon,Scofield,Registered Voters,,,,,,,,,,28
Carbon,Scofield,Ballots Cast,,,,0,3,0,0,0,21,24
Carbon,Scofield,Straight Party,,,CON,0,0,0,0,0,0,0
Carbon,Scofield,Straight Party,,,LIB,0,0,0,0,0,0,0
Carbon,Scofield,Straight Party,,,DEM,0,0,0,0,0,3,3
Carbon,Scofield,Straight Party,,,REP,0,0,0,0,0,2,2
Carbon,Scofield,Straight Party,,,JUS,0,0,0,0,0,0,0
Carbon,Scofield,Straight Party,,,GRN,0,0,0,0,0,0,0
Carbon,Scofield,President,,Jill Stein,GRN,0,0,0,0,0,1,1
Carbon,Scofield,President,,Gloria La Riva,,0,0,0,0,0,0,0
Carbon,Scofield,President,,Mitt Romney,REP,0,2,0,0,0,12,14
Carbon,Scofield,President,,Barack Obama,DEM,0,1,0,0,0,6,7
Carbon,Scofield,President,,Gary Johnson,LIB,0,0,0,0,0,0,0
Carbon,Scofield,President,,Virgil Goode,CON,0,0,0,0,0,0,0
Carbon,Scofield,President,,Ross C. Anderson,JUS,0,0,0,0,0,0,0
Carbon,Scofield,President,,Write-In Votes,,0,0,0,0,0,1,1
Carbon,Scofield,U.S. Senate,,Shaun McCausland,CON,0,0,0,0,0,1,1
Carbon,Scofield,U.S. Senate,,Scott Howell,DEM,0,1,0,0,0,15,16
Carbon,Scofield,U.S. Senate,,Orrin Hatch,REP,0,2,0,0,0,4,6
Carbon,Scofield,U.S. Senate,,Daniel Geery,JUS,0,0,0,0,0,0,0
Carbon,Scofield,U.S. Senate,,Bill Barron,,0,0,0,0,0,1,1
Carbon,Scofield,U.S. Senate,,Write-In Votes,,0,0,0,0,0,0,0
Carbon,Scofield,U.S. House,,Jason Chaffetz,REP,0,2,0,0,0,9,11
Carbon,Scofield,U.S. House,,Soren Simonsen,DEM,0,1,0,0,0,11,12
Carbon,Scofield,U.S. House,,Write-In Votes,,0,0,0,0,0,0,0
