candidate,office,district,party,county,precinct,polling,absentee,provisional,early,votes
,Registered Voters,,,Piute,Marysvale,332,332,332,332,332
,Ballots Cast,,,Piute,Marysvale,186,49,23,1,259
,Straight Party,,CON,Piute,Marysvale,1,0,0,0,1
,Straight Party,,LIB,Piute,Marysvale,0,0,0,0,0
,Straight Party,,DEM,Piute,Marysvale,11,3,0,0,14
,Straight Party,,REP,Piute,Marysvale,64,11,7,0,82
,Straight Party,,JUS,Piute,Marysvale,0,0,0,0,0
,Straight Party,,GRN,Piute,Marysvale,1,0,0,0,1
Jill Stein,President,,GRN,Piute,Marysvale,0,0,0,0,0
Gloria La Riva,President,,,Piute,Marysvale,0,0,0,0,0
Mitt Romney,President,,REP,Piute,Marysvale,145,38,22,1,206
Barack Obama,President,,DEM,Piute,Marysvale,29,10,0,0,39
Gary Johnson,President,,LIB,Piute,Marysvale,0,0,1,0,1
Virgil Goode,President,,CON,Piute,Marysvale,2,0,0,0,2
"Ross C. ""Rocky"" Ande",President,,JUS,Piute,Marysvale,2,0,0,0,2
Shaun Lynn McCauslan,U.S. Senate,,CON,Piute,Marysvale,2,3,2,0,7
Scott Howell,U.S. Senate,,DEM,Piute,Marysvale,35,13,1,0,49
Orrin G Hatch,U.S. Senate,,REP,Piute,Marysvale,141,31,20,0,192
Daniel Geery,U.S. Senate,,JUS,Piute,Marysvale,1,1,0,1,3
Bill Barron,U.S. Senate,,,Piute,Marysvale,0,0,0,0,0
Chris Stewart,U.S. House,2,REP,Piute,Marysvale,130,33,21,1,185
Jay Seegmiller,U.S. House,2,DEM,Piute,Marysvale,33,7,1,0,41
Charles E Kimball,U.S. House,2,,Piute,Marysvale,4,1,0,0,5
Jonathan D Garrard,U.S. House,2,CON,Piute,Marysvale,7,2,1,0,10
Joseph Andrade,U.S. House,2,,Piute,Marysvale,2,2,0,0,4
Peter S Cooke,Governor,,DEM,Piute,Marysvale,33,9,3,1,46
Ken Larsen,Governor,,LIB,Piute,Marysvale,3,2,2,0,7
Kirk D Pearson,Governor,,CON,Piute,Marysvale,1,2,0,0,3
Gary R Herbert,Governor,,REP,Piute,Marysvale,142,33,18,0,193
Dee W. Smith,Attorney General,,DEM,Piute,Marysvale,27,10,0,1,38
John Swallow,Attorney General,,REP,Piute,Marysvale,146,35,21,0,202
W Andrew McCullough,Attorney General,,LIB,Piute,Marysvale,4,0,2,0,6
Mark Sage,State Auditor,,DEM,Piute,Marysvale,30,13,1,0,44
John Dougall,State Auditor,,REP,Piute,Marysvale,134,28,20,1,183
Richard Proctor,State Auditor,,CON,Piute,Marysvale,11,4,2,0,17
Christopher Stout,State Treasurer,,DEM,Piute,Marysvale,40,10,3,0,53
Vincent C Marcus II,State Treasurer,,LIB,Piute,Marysvale,3,2,2,0,7
Richard K Ellis,State Treasurer,,REP,Piute,Marysvale,131,33,18,1,183
Ralph Okerlund,State Senate,24,REP,Piute,Marysvale,153,35,22,0,210
Trestin Meacham,State Senate,24,CON,Piute,Marysvale,21,8,1,1,31
Michael Noel,State House,,REP,Piute,Marysvale,146,35,22,1,204
