candidate,office,district,party,county,precinct,polling,absentee,provisional,early,votes
Ty Markham,State House,,JUS,Piute,Marysvale,19,6,1,0,26
,Registered Voters,,,Piute,Junction,127,127,127,127,127
,Ballots Cast,,,Piute,Junction,50,34,14,0,98
,Straight Party,,CON,Piute,Junction,0,0,0,0,0
,Straight Party,,LIB,Piute,Junction,1,0,0,0,1
,Straight Party,,DEM,Piute,Junction,1,1,1,0,3
,Straight Party,,REP,Piute,Junction,17,11,3,0,31
,Straight Party,,JUS,Piute,Junction,0,0,0,0,0
,Straight Party,,GRN,Piute,Junction,0,0,0,0,0
Jill Stein,President,,GRN,Piute,Junction,0,0,0,0,0
Gloria La Riva,President,,,Piute,Junction,0,0,0,0,0
Mitt Romney,President,,REP,Piute,Junction,43,29,10,0,82
Barack Obama,President,,DEM,Piute,Junction,4,3,3,0,10
Gary Johnson,President,,LIB,Piute,Junction,2,0,0,0,2
Virgil Goode,President,,CON,Piute,Junction,0,0,1,0,1
"Ross C. ""Rocky"" Ande",President,,JUS,Piute,Junction,0,0,0,0,0
Shaun Lynn McCauslan,U.S. Senate,,CON,Piute,Junction,3,1,2,0,6
Scott Howell,U.S. Senate,,DEM,Piute,Junction,4,3,2,0,9
Orrin G Hatch,U.S. Senate,,REP,Piute,Junction,42,27,9,0,78
Daniel Geery,U.S. Senate,,JUS,Piute,Junction,0,0,0,0,0
Bill Barron,U.S. Senate,,,Piute,Junction,1,0,0,0,1
Chris Stewart,U.S. House,2,REP,Piute,Junction,42,26,10,0,78
Jay Seegmiller,U.S. House,2,DEM,Piute,Junction,3,3,2,0,8
Charles E Kimball,U.S. House,2,,Piute,Junction,2,0,0,0,2
Jonathan D Garrard,U.S. House,2,CON,Piute,Junction,0,0,0,0,0
Joseph Andrade,U.S. House,2,,Piute,Junction,0,1,0,0,1
Peter S Cooke,Governor,,DEM,Piute,Junction,5,2,2,0,9
Ken Larsen,Governor,,LIB,Piute,Junction,2,0,0,0,2
Kirk D Pearson,Governor,,CON,Piute,Junction,1,1,1,0,3
Gary R Herbert,Governor,,REP,Piute,Junction,41,30,10,0,81
Dee W. Smith,Attorney General,,DEM,Piute,Junction,2,2,4,0,8
John Swallow,Attorney General,,REP,Piute,Junction,43,26,7,0,76
W Andrew McCullough,Attorney General,,LIB,Piute,Junction,4,4,1,0,9
Mark Sage,State Auditor,,DEM,Piute,Junction,1,3,5,0,9
John Dougall,State Auditor,,REP,Piute,Junction,42,24,5,0,71
Richard Proctor,State Auditor,,CON,Piute,Junction,6,4,2,0,12
Christopher Stout,State Treasurer,,DEM,Piute,Junction,1,6,4,0,11
Vincent C Marcus II,State Treasurer,,LIB,Piute,Junction,5,2,0,0,7
Richard K Ellis,State Treasurer,,REP,Piute,Junction,42,24,8,0,74
Ralph Okerlund,State Senate,24,REP,Piute,Junction,44,29,10,0,83
Trestin Meacham,State Senate,24,CON,Piute,Junction,5,2,1,0,8
Michael Noel,State House,,REP,Piute,Junction,39,29,9,0,77
Ty Markham,State House,,JUS,Piute,Junction,9,3,1,0,13
,Registered Voters,,,Piute,Circleville 1,155,155,155,155,155
,Ballots Cast,,,Piute,Circleville 1,75,31,13,0,119
,Straight Party,,CON,Piute,Circleville 1,0,0,0,0,0
,Straight Party,,LIB,Piute,Circleville 1,0,0,0,0,0
,Straight Party,,DEM,Piute,Circleville 1,0,0,0,0,0
,Straight Party,,REP,Piute,Circleville 1,12,9,4,0,25
,Straight Party,,JUS,Piute,Circleville 1,0,0,0,0,0
,Straight Party,,GRN,Piute,Circleville 1,0,0,0,0,0
Jill Stein,President,,GRN,Piute,Circleville 1,0,0,0,0,0
Gloria La Riva,President,,,Piute,Circleville 1,0,0,0,0,0
Mitt Romney,President,,REP,Piute,Circleville 1,73,29,12,0,114
Barack Obama,President,,DEM,Piute,Circleville 1,2,2,1,0,5
Gary Johnson,President,,LIB,Piute,Circleville 1,0,0,0,0,0
Virgil Goode,President,,CON,Piute,Circleville 1,0,0,0,0,0
"Ross C. ""Rocky"" Ande",President,,JUS,Piute,Circleville 1,0,0,0,0,0
Shaun Lynn McCauslan,U.S. Senate,,CON,Piute,Circleville 1,0,1,1,0,2
Scott Howell,U.S. Senate,,DEM,Piute,Circleville 1,6,0,1,0,7
Orrin G Hatch,U.S. Senate,,REP,Piute,Circleville 1,66,26,11,0,103
Daniel Geery,U.S. Senate,,JUS,Piute,Circleville 1,1,0,0,0,1
Bill Barron,U.S. Senate,,,Piute,Circleville 1,0,0,0,0,0
Chris Stewart,U.S. House,2,REP,Piute,Circleville 1,65,29,10,0,104
Jay Seegmiller,U.S. House,2,DEM,Piute,Circleville 1,2,0,2,0,4
Charles E Kimball,U.S. House,2,,Piute,Circleville 1,1,0,0,0,1
Jonathan D Garrard,U.S. House,2,CON,Piute,Circleville 1,2,0,0,0,2
Joseph Andrade,U.S. House,2,,Piute,Circleville 1,0,0,0,0,0
Peter S Cooke,Governor,,DEM,Piute,Circleville 1,1,1,1,0,3
Ken Larsen,Governor,,LIB,Piute,Circleville 1,1,0,0,0,1
Kirk D Pearson,Governor,,CON,Piute,Circleville 1,0,1,0,0,1
Gary R Herbert,Governor,,REP,Piute,Circleville 1,69,27,11,0,107
Dee W. Smith,Attorney General,,DEM,Piute,Circleville 1,1,0,1,0,2
John Swallow,Attorney General,,REP,Piute,Circleville 1,67,28,12,0,107
W Andrew McCullough,Attorney General,,LIB,Piute,Circleville 1,0,0,0,0,0
Mark Sage,State Auditor,,DEM,Piute,Circleville 1,4,1,1,0,6
John Dougall,State Auditor,,REP,Piute,Circleville 1,60,26,9,0,95
Richard Proctor,State Auditor,,CON,Piute,Circleville 1,3,1,3,0,7
Christopher Stout,State Treasurer,,DEM,Piute,Circleville 1,8,0,1,0,9
Vincent C Marcus II,State Treasurer,,LIB,Piute,Circleville 1,1,2,1,0,4
Richard K Ellis,State Treasurer,,REP,Piute,Circleville 1,58,26,10,0,94
Ralph Okerlund,State Senate,24,REP,Piute,Circleville 1,64,27,12,0,103
Trestin Meacham,State Senate,24,CON,Piute,Circleville 1,4,2,1,0,7
Michael Noel,State House,,REP,Piute,Circleville 1,64,26,10,0,100
Ty Markham,State House,,JUS,Piute,Circleville 1,6,4,1,0,11
,Registered Voters,,,Piute,Circleville 2,142,142,142,142,142
,Ballots Cast,,,Piute,Circleville 2,86,29,12,0,127
,Straight Party,,CON,Piute,Circleville 2,0,0,0,0,0
,Straight Party,,LIB,Piute,Circleville 2,0,0,0,0,0
,Straight Party,,DEM,Piute,Circleville 2,1,0,0,0,1
,Straight Party,,REP,Piute,Circleville 2,13,11,0,0,24
,Straight Party,,JUS,Piute,Circleville 2,0,0,0,0,0
,Straight Party,,GRN,Piute,Circleville 2,0,0,0,0,0
Jill Stein,President,,GRN,Piute,Circleville 2,0,0,0,0,0
Gloria La Riva,President,,,Piute,Circleville 2,0,0,0,0,0
Mitt Romney,President,,REP,Piute,Circleville 2,78,28,11,0,117
Barack Obama,President,,DEM,Piute,Circleville 2,8,0,1,0,9
Gary Johnson,President,,LIB,Piute,Circleville 2,0,0,0,0,0
Virgil Goode,President,,CON,Piute,Circleville 2,0,0,0,0,0
"Ross C. ""Rocky"" Ande",President,,JUS,Piute,Circleville 2,0,0,0,0,0
Shaun Lynn McCauslan,U.S. Senate,,CON,Piute,Circleville 2,4,0,0,0,4
Scott Howell,U.S. Senate,,DEM,Piute,Circleville 2,11,0,0,0,11
Orrin G Hatch,U.S. Senate,,REP,Piute,Circleville 2,63,28,11,0,102
Daniel Geery,U.S. Senate,,JUS,Piute,Circleville 2,0,0,0,0,0
Bill Barron,U.S. Senate,,,Piute,Circleville 2,3,0,0,0,3
Chris Stewart,U.S. House,2,REP,Piute,Circleville 2,62,27,11,0,100
Jay Seegmiller,U.S. House,2,DEM,Piute,Circleville 2,12,0,0,0,12
Charles E Kimball,U.S. House,2,,Piute,Circleville 2,2,0,0,0,2
Jonathan D Garrard,U.S. House,2,CON,Piute,Circleville 2,1,0,1,0,2
Joseph Andrade,U.S. House,2,,Piute,Circleville 2,1,1,0,0,2
Peter S Cooke,Governor,,DEM,Piute,Circleville 2,8,1,1,0,10
Ken Larsen,Governor,,LIB,Piute,Circleville 2,1,0,0,0,1
Kirk D Pearson,Governor,,CON,Piute,Circleville 2,3,0,0,0,3
Gary R Herbert,Governor,,REP,Piute,Circleville 2,69,27,11,0,107
Dee W. Smith,Attorney General,,DEM,Piute,Circleville 2,8,4,1,0,13
John Swallow,Attorney General,,REP,Piute,Circleville 2,66,24,10,0,100
W Andrew McCullough,Attorney General,,LIB,Piute,Circleville 2,3,0,0,0,3
Mark Sage,State Auditor,,DEM,Piute,Circleville 2,11,2,0,0,13
John Dougall,State Auditor,,REP,Piute,Circleville 2,64,24,11,0,99
Richard Proctor,State Auditor,,CON,Piute,Circleville 2,3,1,0,0,4
Christopher Stout,State Treasurer,,DEM,Piute,Circleville 2,11,2,0,0,13
Vincent C Marcus II,State Treasurer,,LIB,Piute,Circleville 2,3,1,0,0,4
Richard K Ellis,State Treasurer,,REP,Piute,Circleville 2,63,25,12,0,100
Ralph Okerlund,State Senate,24,REP,Piute,Circleville 2,71,26,12,0,109
Trestin Meacham,State Senate,24,CON,Piute,Circleville 2,7,2,0,0,9
Michael Noel,State House,,REP,Piute,Circleville 2,70,24,11,0,105
Ty Markham,State House,,JUS,Piute,Circleville 2,7,3,1,0,11
,Registered Voters,,,Piute,Kingston,147,147,147,147,147
,Ballots Cast,,,Piute,Kingston,87,23,20,0,130
,Straight Party,,CON,Piute,Kingston,0,0,0,0,0
,Straight Party,,LIB,Piute,Kingston,1,0,0,0,1
,Straight Party,,DEM,Piute,Kingston,2,2,0,0,4
,Straight Party,,REP,Piute,Kingston,16,2,6,0,24
,Straight Party,,JUS,Piute,Kingston,0,0,0,0,0
,Straight Party,,GRN,Piute,Kingston,0,0,0,0,0
Jill Stein,President,,GRN,Piute,Kingston,0,0,0,0,0
Gloria La Riva,President,,,Piute,Kingston,0,0,0,0,0
Mitt Romney,President,,REP,Piute,Kingston,82,16,19,0,117
Barack Obama,President,,DEM,Piute,Kingston,1,6,0,0,7
Gary Johnson,President,,LIB,Piute,Kingston,1,1,0,0,2
Virgil Goode,President,,CON,Piute,Kingston,1,0,0,0,1
"Ross C. ""Rocky"" Ande",President,,JUS,Piute,Kingston,0,0,0,0,0
Shaun Lynn McCauslan,U.S. Senate,,CON,Piute,Kingston,4,0,0,0,4
Scott Howell,U.S. Senate,,DEM,Piute,Kingston,2,6,1,0,9
Orrin G Hatch,U.S. Senate,,REP,Piute,Kingston,75,16,16,0,107
Daniel Geery,U.S. Senate,,JUS,Piute,Kingston,0,1,0,0,1
Bill Barron,U.S. Senate,,,Piute,Kingston,1,0,0,0,1
Chris Stewart,U.S. House,2,REP,Piute,Kingston,77,16,19,0,112
Jay Seegmiller,U.S. House,2,DEM,Piute,Kingston,1,5,0,0,6
Charles E Kimball,U.S. House,2,,Piute,Kingston,0,1,0,0,1
Jonathan D Garrard,U.S. House,2,CON,Piute,Kingston,2,0,0,0,2
Joseph Andrade,U.S. House,2,,Piute,Kingston,0,1,0,0,1
Peter S Cooke,Governor,,DEM,Piute,Kingston,1,5,0,0,6
Ken Larsen,Governor,,LIB,Piute,Kingston,1,1,0,0,2
Kirk D Pearson,Governor,,CON,Piute,Kingston,1,0,0,0,1
Gary R Herbert,Governor,,REP,Piute,Kingston,79,16,19,0,114
Dee W. Smith,Attorney General,,DEM,Piute,Kingston,4,5,2,0,11
John Swallow,Attorney General,,REP,Piute,Kingston,76,17,16,0,109
W Andrew McCullough,Attorney General,,LIB,Piute,Kingston,1,1,0,0,2
Mark Sage,State Auditor,,DEM,Piute,Kingston,3,5,0,0,8
John Dougall,State Auditor,,REP,Piute,Kingston,76,17,19,0,112
Richard Proctor,State Auditor,,CON,Piute,Kingston,1,0,0,0,1
Christopher Stout,State Treasurer,,DEM,Piute,Kingston,2,5,0,0,7
Vincent C Marcus II,State Treasurer,,LIB,Piute,Kingston,1,2,0,0,3
Richard K Ellis,State Treasurer,,REP,Piute,Kingston,77,16,17,0,110
Ralph Okerlund,State Senate,24,REP,Piute,Kingston,79,16,16,0,111
Trestin Meacham,State Senate,24,CON,Piute,Kingston,3,5,1,0,9
Michael Noel,State House,,REP,Piute,Kingston,75,15,17,0,107
Ty Markham,State House,,JUS,Piute,Kingston,6,5,0,0,11
,Registered Voters,,,Piute,Greenwich,73,73,73,73,73
,Ballots Cast,,,Piute,Greenwich,59,0,6,0,65
,Straight Party,,CON,Piute,Greenwich,0,0,0,0,0
,Straight Party,,LIB,Piute,Greenwich,0,0,0,0,0
,Straight Party,,DEM,Piute,Greenwich,1,0,0,0,1
,Straight Party,,REP,Piute,Greenwich,13,0,2,0,15
,Straight Party,,JUS,Piute,Greenwich,0,0,0,0,0
,Straight Party,,GRN,Piute,Greenwich,0,0,0,0,0
Jill Stein,President,,GRN,Piute,Greenwich,0,0,0,0,0
Gloria La Riva,President,,,Piute,Greenwich,0,0,0,0,0
Mitt Romney,President,,REP,Piute,Greenwich,55,0,6,0,61
Barack Obama,President,,DEM,Piute,Greenwich,4,0,0,0,4
Gary Johnson,President,,LIB,Piute,Greenwich,0,0,0,0,0
Virgil Goode,President,,CON,Piute,Greenwich,0,0,0,0,0
"Ross C. ""Rocky"" Ande",President,,JUS,Piute,Greenwich,0,0,0,0,0
Shaun Lynn McCauslan,U.S. Senate,,CON,Piute,Greenwich,0,0,0,0,0
Scott Howell,U.S. Senate,,DEM,Piute,Greenwich,10,0,0,0,10
Orrin G Hatch,U.S. Senate,,REP,Piute,Greenwich,48,0,6,0,54
Daniel Geery,U.S. Senate,,JUS,Piute,Greenwich,0,0,0,0,0
Bill Barron,U.S. Senate,,,Piute,Greenwich,0,0,0,0,0
Chris Stewart,U.S. House,2,REP,Piute,Greenwich,51,0,6,0,57
Jay Seegmiller,U.S. House,2,DEM,Piute,Greenwich,5,0,0,0,5
Charles E Kimball,U.S. House,2,,Piute,Greenwich,0,0,0,0,0
Jonathan D Garrard,U.S. House,2,CON,Piute,Greenwich,0,0,0,0,0
Joseph Andrade,U.S. House,2,,Piute,Greenwich,0,0,0,0,0
Peter S Cooke,Governor,,DEM,Piute,Greenwich,8,0,0,0,8
Ken Larsen,Governor,,LIB,Piute,Greenwich,1,0,0,0,1
Kirk D Pearson,Governor,,CON,Piute,Greenwich,0,0,0,0,0
Gary R Herbert,Governor,,REP,Piute,Greenwich,50,0,6,0,56
Dee W. Smith,Attorney General,,DEM,Piute,Greenwich,6,0,0,0,6
John Swallow,Attorney General,,REP,Piute,Greenwich,49,0,6,0,55
W Andrew McCullough,Attorney General,,LIB,Piute,Greenwich,0,0,0,0,0
Mark Sage,State Auditor,,DEM,Piute,Greenwich,5,0,0,0,5
John Dougall,State Auditor,,REP,Piute,Greenwich,47,0,6,0,53
Richard Proctor,State Auditor,,CON,Piute,Greenwich,3,0,0,0,3
Christopher Stout,State Treasurer,,DEM,Piute,Greenwich,5,0,0,0,5
Vincent C Marcus II,State Treasurer,,LIB,Piute,Greenwich,0,0,0,0,0
Richard K Ellis,State Treasurer,,REP,Piute,Greenwich,50,0,6,0,56
Ralph Okerlund,State Senate,24,REP,Piute,Greenwich,50,0,6,0,56
Trestin Meacham,State Senate,24,CON,Piute,Greenwich,6,0,0,0,6
Michael Noel,State House,,REP,Piute,Greenwich,45,0,6,0,51
Ty Markham,State House,,JUS,Piute,Greenwich,10,0,0,0,10
,Registered Voters,,,Piute,TOTAL,976,976,976,976,976
,Ballots Cast,,,Piute,TOTAL,543,166,88,1,798
,Straight Party,,CON,Piute,TOTAL,1,0,0,0,1
,Straight Party,,LIB,Piute,TOTAL,2,0,0,0,2
,Straight Party,,DEM,Piute,TOTAL,16,6,1,0,23
,Straight Party,,REP,Piute,TOTAL,135,44,22,0,201
,Straight Party,,JUS,Piute,TOTAL,0,0,0,0,0
,Straight Party,,GRN,Piute,TOTAL,1,0,0,0,1
Jill Stein,President,,GRN,Piute,TOTAL,0,0,0,0,0
Gloria La Riva,President,,,Piute,TOTAL,0,0,0,0,0
Mitt Romney,President,,REP,Piute,TOTAL,476,140,80,1,697
Barack Obama,President,,DEM,Piute,TOTAL,48,21,5,0,74
Gary Johnson,President,,LIB,Piute,TOTAL,3,1,1,0,5
Virgil Goode,President,,CON,Piute,TOTAL,3,0,1,0,4
"Ross C. ""Rocky"" Ande",President,,JUS,Piute,TOTAL,2,0,0,0,2
Shaun Lynn McCauslan,U.S. Senate,,CON,Piute,TOTAL,13,5,5,0,23
Scott Howell,U.S. Senate,,DEM,Piute,TOTAL,68,22,5,0,95
Orrin G Hatch,U.S. Senate,,REP,Piute,TOTAL,435,128,73,0,636
Daniel Geery,U.S. Senate,,JUS,Piute,TOTAL,2,2,0,1,5
Bill Barron,U.S. Senate,,,Piute,TOTAL,5,0,0,0,5
Chris Stewart,U.S. House,2,REP,Piute,TOTAL,427,131,77,1,636
Jay Seegmiller,U.S. House,2,DEM,Piute,TOTAL,56,15,5,0,76
Charles E Kimball,U.S. House,2,,Piute,TOTAL,9,2,0,0,11
Jonathan D Garrard,U.S. House,2,CON,Piute,TOTAL,12,2,2,0,16
Joseph Andrade,U.S. House,2,,Piute,TOTAL,3,5,0,0,8
Peter S Cooke,Governor,,DEM,Piute,TOTAL,56,18,7,1,82
Ken Larsen,Governor,,LIB,Piute,TOTAL,9,3,2,0,14
Kirk D Pearson,Governor,,CON,Piute,TOTAL,6,4,1,0,11
Gary R Herbert,Governor,,REP,Piute,TOTAL,450,133,75,0,658
Dee W. Smith,Attorney General,,DEM,Piute,TOTAL,48,21,8,1,78
John Swallow,Attorney General,,REP,Piute,TOTAL,447,130,72,0,649
W Andrew McCullough,Attorney General,,LIB,Piute,TOTAL,12,5,3,0,20
Mark Sage,State Auditor,,DEM,Piute,TOTAL,0,1,0,0,1
John Dougall,State Auditor,,REP,Piute,TOTAL,54,24,7,0,85
Richard Proctor,State Auditor,,CON,Piute,TOTAL,423,119,70,1,613
Christopher Stout,State Treasurer,,DEM,Piute,TOTAL,67,23,8,0,98
Vincent C Marcus II,State Treasurer,,LIB,Piute,TOTAL,13,9,3,0,25
Richard K Ellis,State Treasurer,,REP,Piute,TOTAL,421,124,71,1,617
Ralph Okerlund,State Senate,24,REP,Piute,TOTAL,461,133,78,0,672
Trestin Meacham,State Senate,24,CON,Piute,TOTAL,46,19,4,1,70
Michael Noel,State House,,REP,Piute,TOTAL,439,129,75,1,644
Ty Markham,State House,,JUS,Piute,TOTAL,57,21,4,0,82
