county,precinct,office,district,candidate,party,polling,early,absentee,provisional,votes
Millard,Abraham,Registered Voters,,,,,,,,76
Millard,Abraham,Ballots Cast,,,,53,1,5,0,59
Millard,Abraham,Straight Party,,,CON,0,0,0,0,0
Millard,Abraham,Straight Party,,,LIB,0,0,0,0,0
Millard,Abraham,Straight Party,,,DEM,2,0,0,0,2
Millard,Abraham,Straight Party,,,REP,8,1,2,0,11
Millard,Abraham,Straight Party,,,JUS,0,0,0,0,0
Millard,Abraham,Straight Party,,,GRN,0,0,0,0,0
Millard,Abraham,President/Vice President,,Jill Stein,GRN,0,0,0,0,0
Millard,Abraham,President/Vice President,,Gloria La Riva,,0,0,0,0,0
Millard,Abraham,President/Vice President,,Mitt Romney,REP,45,1,2,0,48
Millard,Abraham,President/Vice President,,Barack Obama,DEM,4,0,1,0,5
Millard,Abraham,President/Vice President,,Gary Johnson,LIB,0,0,0,0,0
Millard,Abraham,President/Vice President,,Virgil Goode,CON,3,0,2,0,5
Millard,Abraham,President/Vice President,,Ross C. Anderson,JUS,0,0,0,0,0
Millard,Abraham,President/Vice President,,Write-In Votes,,0,0,0,0,0
Millard,Abraham,U.S. Senate,,Shaun McCausland,CON,8,0,2,0,10
Millard,Abraham,U.S. Senate,,Scott Howell,DEM,6,0,1,0,7
Millard,Abraham,U.S. Senate,,Orrin G. Hatch,REP,36,1,2,0,39
Millard,Abraham,U.S. Senate,,Daniel Geery,JUS,0,0,0,0,0
Millard,Abraham,U.S. Senate,,Bill Barron,,0,0,0,0,0
Millard,Abraham,U.S. Senate,,Write-In Votes,,0,0,0,0,0
Millard,Abraham,U.S. House,2,Chris Stewart,REP,41,1,2,0,44
Millard,Abraham,U.S. House,2,Jay Seegmiller,DEM,5,0,1,0,6
Millard,Abraham,U.S. House,2,Charles E. Kimball,,0,0,0,0,0
Millard,Abraham,U.S. House,2,Jonathan D. Garrard,CON,3,0,2,0,5
Millard,Abraham,U.S. House,2,Joseph Andrade,,2,0,0,0,2
Millard,Abraham,U.S. House,2,Write-In Votes,,0,0,0,0,0
Millard,Abraham,Governor,,Peter S. Cooke,DEM,6,0,0,0,6
Millard,Abraham,Governor,,Ken Larsen,LIB,0,0,0,0,0
Millard,Abraham,Governor,,Kirk D. Pearson,CON,3,0,2,0,5
Millard,Abraham,Governor,,Gary R. Herbert,REP,42,1,3,0,46
Millard,Abraham,Governor,,Write-In Votes,,0,0,0,0,0
Millard,Abraham,Attorney General,,Dee W. Smith,DEM,6,0,1,0,7
Millard,Abraham,Attorney General,,John Swallow,REP,41,1,3,0,45
Millard,Abraham,Attorney General,,W. Andrew McCullough,LIB,1,0,0,0,1
Millard,Abraham,Attorney General,,Write-In Votes,,0,0,0,0,0
Millard,Abraham,State Auditor,,Mark Sage,DEM,4,0,1,0,5
Millard,Abraham,State Auditor,,John Dougall,REP,37,1,2,0,40
Millard,Abraham,State Auditor,,Richard Proctor,CON,7,0,2,0,9
Millard,Abraham,State Auditor,,Write-In Votes,,0,0,0,0,0
Millard,Abraham,State Treasurer,,Christopher Stout,DEM,4,0,1,0,5
Millard,Abraham,State Treasurer,,Vincent C. Marcus,LIB,2,0,0,0,2
Millard,Abraham,State Treasurer,,Richard K. Ellis,REP,41,1,3,0,45
Millard,Abraham,State Treasurer,,Write-In Votes,,0,0,0,0,0
Millard,Abraham,State Senate,24,Ralph Okerlund,REP,43,1,2,0,46
Millard,Abraham,State Senate,24,Trestin Meacham,CON,4,0,3,0,7
Millard,Abraham,State Senate,24,Write-In Votes,,0,0,0,0,0
Millard,Abraham,State House,68,Merrill Nelson,REP,29,1,2,0,32
Millard,Abraham,State House,68,Thomas E. Nedreberg,DEM,3,0,1,0,4
Millard,Abraham,State House,68,Paul J. McCollaum,CON,19,0,2,0,21
Millard,Abraham,State House,68,Write-In Votes,,0,0,0,0,0
Millard,Delta 17,Registered Voters,,,,,,,,866
Millard,Delta 17,Ballots Cast,,,,473,120,76,3,672
Millard,Delta 17,Straight Party,,,CON,2,0,1,0,3
Millard,Delta 17,Straight Party,,,LIB,0,0,0,0,0
Millard,Delta 17,Straight Party,,,DEM,18,3,4,0,25
Millard,Delta 17,Straight Party,,,REP,98,24,17,1,140
Millard,Delta 17,Straight Party,,,JUS,0,0,1,0,1
Millard,Delta 17,Straight Party,,,GRN,0,0,0,0,0
Millard,Delta 17,President/Vice President,,Jill Stein,GRN,0,0,1,0,1
Millard,Delta 17,President/Vice President,,Gloria La Riva,,0,0,0,0,0
Millard,Delta 17,President/Vice President,,Mitt Romney,REP,415,109,63,3,590
Millard,Delta 17,President/Vice President,,Barack Obama,DEM,52,8,8,0,68
Millard,Delta 17,President/Vice President,,Gary Johnson,LIB,1,0,0,0,1
Millard,Delta 17,President/Vice President,,Virgil Goode,CON,2,1,0,0,3
Millard,Delta 17,President/Vice President,,Ross C. Anderson,JUS,0,0,1,0,1
Millard,Delta 17,President/Vice President,,Write-In Votes,,0,0,2,0,2
Millard,Delta 17,U.S. Senate,,Shaun McCausland,CON,26,8,0,0,34
Millard,Delta 17,U.S. Senate,,Scott Howell,DEM,102,17,16,0,135
Millard,Delta 17,U.S. Senate,,Orrin G. Hatch,REP,336,95,58,3,492
Millard,Delta 17,U.S. Senate,,Daniel Geery,JUS,1,0,1,0,2
Millard,Delta 17,U.S. Senate,,Bill Barron,,0,0,0,0,0
Millard,Delta 17,U.S. Senate,,Write-In Votes,,1,0,0,0,1
Millard,Delta 17,U.S. House,2,Chris Stewart,REP,370,99,56,3,528
Millard,Delta 17,U.S. House,2,Jay Seegmiller,DEM,70,15,16,0,101
Millard,Delta 17,U.S. House,2,Charles E. Kimball,,4,0,0,0,4
Millard,Delta 17,U.S. House,2,Jonathan D. Garrard,CON,13,4,0,0,17
Millard,Delta 17,U.S. House,2,Joseph Andrade,,3,2,2,0,7
Millard,Delta 17,U.S. House,2,Write-In Votes,,0,0,0,0,0
Millard,Delta 17,Governor,,Peter S. Cooke,DEM,76,20,15,0,111
Millard,Delta 17,Governor,,Ken Larsen,LIB,2,2,0,0,4
Millard,Delta 17,Governor,,Kirk D. Pearson,CON,19,1,0,0,20
Millard,Delta 17,Governor,,Gary R. Herbert,REP,367,97,59,3,526
Millard,Delta 17,Governor,,Write-In Votes,,0,0,0,0,0
Millard,Delta 17,Attorney General,,Dee W. Smith,DEM,76,16,16,0,108
Millard,Delta 17,Attorney General,,John Swallow,REP,360,100,58,3,521
Millard,Delta 17,Attorney General,,W. Andrew McCullough,LIB,18,3,1,0,22
Millard,Delta 17,Attorney General,,Write-In Votes,,0,0,0,0,0
Millard,Delta 17,State Auditor,,Mark Sage,DEM,78,17,15,0,110
Millard,Delta 17,State Auditor,,John Dougall,REP,348,95,57,3,503
Millard,Delta 17,State Auditor,,Richard Proctor,CON,28,7,2,0,37
Millard,Delta 17,State Auditor,,Write-In Votes,,0,0,0,0,0
Millard,Delta 17,State Treasurer,,Christopher Stout,DEM,82,10,13,0,105
Millard,Delta 17,State Treasurer,,Vincent C. Marcus,LIB,17,6,1,0,24
Millard,Delta 17,State Treasurer,,Richard K. Ellis,REP,352,103,60,3,518
Millard,Delta 17,State Treasurer,,Write-In Votes,,0,0,0,0,0
Millard,Delta 17,State Senate,24,Ralph Okerlund,REP,393,104,65,3,565
Millard,Delta 17,State Senate,24,Trestin Meacham,CON,50,12,6,0,68
Millard,Delta 17,State Senate,24,Write-In Votes,,0,0,0,0,0
Millard,Delta 17,State House,68,Merrill Nelson,REP,356,94,53,2,505
Millard,Delta 17,State House,68,Thomas E. Nedreberg,DEM,68,12,16,0,96
