county,precinct,office,district,party,candidate,votes,pct
Tooele,EC01,Registered Voters,,,,391,
Tooele,EC01,Ballots Cast,,,,253,
Tooele,EC01,U.S. Senate,,REP,MIKE LEE,161,63.64
Tooele,EC01,U.S. Senate,,,EVAN MCMULLIN,82,32.41
Tooele,EC01,U.S. Senate,,LIB,JAMES ARTHUR HANSEN,5,1.98
Tooele,EC01,U.S. Senate,,IAP,TOMMY WILLIAMS,5,1.98
Tooele,EC01,U.S. Senate,,,Write-In: Laird Fetzer Hamblin,0,0
Tooele,EC01,U.S. Senate,,,Write-In: Fictitious Entry,0,0
Tooele,EC01,U.S. Senate,,,Write-In Totals,0,0
Tooele,EC01,U.S. Senate,,,Not Assigned,0,0
Tooele,EC01,U.S. House,2,REP,CHRIS STEWART,167,69.01
Tooele,EC01,U.S. House,2,DEM,NICK MITCHELL,52,21.49
Tooele,EC01,U.S. House,2,CON,CASSIE EASLEY,12,4.96
Tooele,EC01,U.S. House,2,UUP,JAYMAC MCFARLAND,11,4.55
Tooele,EC01,State Treasurer,,REP,MARLO M. OAKS,171,73.08
Tooele,EC01,State Treasurer,,LIB,JOSEPH GEDDES BUCHMAN,23,9.83
Tooele,EC01,State Treasurer,,UUP,THOMAS ALAN HORNE,21,8.97
Tooele,EC01,State Treasurer,,IAP,WARREN T ROGERS,19,8.12
Tooele,EC01,State Senate,11,REP,DANIEL W. THATCHER,180,100
Tooele,EC01,State House,28,REP,TIM JIMENEZ,189,100
Tooele,EC01,County Attorney,,REP,SCOTT A. BROADHEAD,176,100
Tooele,EC01,County Auditor,,REP,ALISON H. MCCOY,191,100
Tooele,EC01,County Clerk,,REP,TRACY SHAW,197,100
Tooele,EC01,County Sheriff,,REP,PAUL J. WIMMER,155,65.96
Tooele,EC01,County Sheriff,,,M. DEAN ADAMS,80,34.04
Tooele,EC01,PAIGE PETERSEN Judicial Retention,,,YES,149,74.87
Tooele,EC01,PAIGE PETERSEN Judicial Retention,,,NO,50,25.13
Tooele,EC01,ADAM T. MOW Judicial Retention,,,YES,143,72.96
