county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional,mail
Davis,BO01:I-S-,Registered Voters,,,,419,,,,
Davis,BO02:I-S-,Registered Voters,,,,597,,,,
Davis,BO03:I-S-,Registered Voters,,,,540,,,,
Davis,BO04:I-S-,Registered Voters,,,,582,,,,
Davis,BO05:I-S-,Registered Voters,,,,569,,,,
Davis,BO05:U-S-,Registered Voters,,,,0,,,,
Davis,BO06:I-S-,Registered Voters,,,,571,,,,
Davis,BO07:I-S-,Registered Voters,,,,629,,,,
Davis,BO08:I-S-,Registered Voters,,,,723,,,,
Davis,BO09:I-S,Registered Voters,,,,539,,,,
Davis,BO10:I-S-,Registered Voters,,,,534,,,,
Davis,BO11:I-S-,Registered Voters,,,,567,,,,
Davis,BO12:I-S-,Registered Voters,,,,547,,,,
Davis,BO13:I-S-,Registered Voters,,,,668,,,,
Davis,BO14:I-S-,Registered Voters,,,,617,,,,
Davis,BO15:I-S-,Registered Voters,,,,587,,,,
Davis,BO16:I-S-,Registered Voters,,,,624,,,,
Davis,BO17:I-S-,Registered Voters,,,,585,,,,
Davis,BO18:I-S-,Registered Voters,,,,543,,,,
Davis,BO19:I-S-,Registered Voters,,,,585,,,,
Davis,BO20:I-S-,Registered Voters,,,,566,,,,
Davis,BO21:I-S-,Registered Voters,,,,681,,,,
Davis,BO22:I-S-,Registered Voters,,,,700,,,,
Davis,BO23:I-S-,Registered Voters,,,,444,,,,
Davis,BO24:I-S-,Registered Voters,,,,590,,,,
Davis,BO25:I-S-,Registered Voters,,,,673,,,,
Davis,BO26:I-S-,Registered Voters,,,,539,,,,
Davis,BO27:I-S-,Registered Voters,,,,513,,,,
Davis,BO28:I-S-,Registered Voters,,,,607,,,,
Davis,BO29:I-S,Registered Voters,,,,626,,,,
Davis,BO30:I-S-,Registered Voters,,,,534,,,,
Davis,BO31:I-S-,Registered Voters,,,,592,,,,
Davis,BO32:I-S-,Registered Voters,,,,587,,,,
Davis,BO33:IDS-,Registered Voters,,,,563,,,,
Davis,BO34:IDS-,Registered Voters,,,,625,,,,
Davis,BO35:IDS-,Registered Voters,,,,705,,,,
Davis,BO36:I-S-,Registered Voters,,,,580,,,,
Davis,BO37:I-S-,Registered Voters,,,,673,,,,
Davis,BO38:I-S-,Registered Voters,,,,710,,,,
Davis,BO39:I-S-,Registered Voters,,,,668,,,,
Davis,BO40:I-S,Registered Voters,,,,2,,,,
Davis,BO40:IDS-,Registered Voters,,,,663,,,,
Davis,BO41:IDS-,Registered Voters,,,,577,,,,
Davis,BO42:I-S-,Registered Voters,,,,540,,,,
Davis,BO43,Registered Voters,,,,600,,,,
Davis,BO44:I-S-,Registered Voters,,,,711,,,,
Davis,CE01:I-S-,Registered Voters,,,,744,,,,
Davis,CE02:I-S-,Registered Voters,,,,644,,,,
Davis,CE03:I-S-,Registered Voters,,,,707,,,,
Davis,CE04:I-S-,Registered Voters,,,,727,,,,
Davis,CE05:I-S-,Registered Voters,,,,577,,,,
Davis,CE06:I-S-,Registered Voters,,,,593,,,,
Davis,CE07:I-S-,Registered Voters,,,,639,,,,
Davis,CE08:I-S-,Registered Voters,,,,640,,,,
Davis,CE09:I-S-,Registered Voters,,,,691,,,,
Davis,CE10:I-S-,Registered Voters,,,,564,,,,
Davis,CE11:I-S-,Registered Voters,,,,597,,,,
Davis,CE12:I-S-,Registered Voters,,,,624,,,,
Davis,CE13:I-S-,Registered Voters,,,,478,,,,
Davis,CE14:I-S-,Registered Voters,,,,719,,,,
Davis,CE15:I-S-,Registered Voters,,,,612,,,,
Davis,CE16:I-S-,Registered Voters,,,,492,,,,
Davis,CE17:I-S-,Registered Voters,,,,119,,,,
Davis,CE18:I-SA,Registered Voters,,,,1,,,,
Davis,CE18:I-SB,Registered Voters,,,,0,,,,
Davis,CE18:U-S-,Registered Voters,,,,0,,,,
Davis,CF01:I-N-,Registered Voters,,,,477,,,,
Davis,CF02:I-N-,Registered Voters,,,,728,,,,
Davis,CF02:U-N-,Registered Voters,,,,1,,,,
Davis,CF03:I-N-,Registered Voters,,,,773,,,,
Davis,CF04:I-N-,Registered Voters,,,,78,,,,
Davis,CF05:I-N-,Registered Voters,,,,743,,,,
Davis,CF06:I-N-,Registered Voters,,,,406,,,,
Davis,CF07:I-N-,Registered Voters,,,,564,,,,
Davis,CF08:I-N-,Registered Voters,,,,289,,,,
Davis,CF09:I-N-,Registered Voters,,,,613,,,,
Davis,CF10:I-N-,Registered Voters,,,,646,,,,
Davis,CF11:I-N-,Registered Voters,,,,82,,,,
Davis,CF12:I-N-,Registered Voters,,,,165,,,,
Davis,CF13:I-N-,Registered Voters,,,,558,,,,
Davis,CF14:I-N-,Registered Voters,,,,441,,,,
Davis,CF15:I-N-,Registered Voters,,,,363,,,,
Davis,CF16:I-N-,Registered Voters,,,,710,,,,
Davis,CF17:I-N-,Registered Voters,,,,556,,,,
Davis,CF18:I-N-,Registered Voters,,,,368,,,,
Davis,CF19:I-N-,Registered Voters,,,,352,,,,
