county,precinct,office,district,party,candidates,votes
Cache,AMA,Registered Voters,,,,238
Cache,AMA,Registered Voters,,REP,,156
Cache,AMA,Registered Voters,,DEM,,82
Cache,AMA,Ballots Cast,,,,87
Cache,AMA,Ballots Cast,,REP,,80
Cache,AMA,Ballots Cast,,DEM,,7
Cache,AMA,U.S. Senate,,REP,Mitt Romney,63
Cache,AMA,U.S. Senate,,REP,Mike Kennedy,17
Cache,AMA,U.S. House,1,DEM,Lee Castillo,4
Cache,AMA,U.S. House,1,DEM,Kurt Weiland,3
Cache,BEN,Registered Voters,,,,360
Cache,BEN,Registered Voters,,REP,,229
Cache,BEN,Registered Voters,,DEM,,131
Cache,BEN,Ballots Cast,,,,128
Cache,BEN,Ballots Cast,,REP,,117
Cache,BEN,Ballots Cast,,DEM,,11
Cache,BEN,U.S. Senate,,REP,Mitt Romney,78
Cache,BEN,U.S. Senate,,REP,Mike Kennedy,39
Cache,BEN,U.S. House,1,DEM,Lee Castillo,5
Cache,BEN,U.S. House,1,DEM,Kurt Weiland,6
Cache,CLK,Registered Voters,,,,380
Cache,CLK,Registered Voters,,REP,,255
Cache,CLK,Registered Voters,,DEM,,125
Cache,CLK,Ballots Cast,,,,129
Cache,CLK,Ballots Cast,,REP,,120
Cache,CLK,Ballots Cast,,DEM,,9
Cache,CLK,U.S. Senate,,REP,Mitt Romney,93
Cache,CLK,U.S. Senate,,REP,Mike Kennedy,27
Cache,CLK,U.S. House,1,DEM,Lee Castillo,3
Cache,CLK,U.S. House,1,DEM,Kurt Weiland,6
Cache,COR,Registered Voters,,,,137
Cache,COR,Registered Voters,,REP,,105
Cache,COR,Registered Voters,,DEM,,32
Cache,COR,Ballots Cast,,,,65
Cache,COR,Ballots Cast,,REP,,61
Cache,COR,Ballots Cast,,DEM,,4
Cache,COR,U.S. Senate,,REP,Mitt Romney,38
Cache,COR,U.S. Senate,,REP,Mike Kennedy,23
Cache,COR,U.S. House,1,DEM,Lee Castillo,2
Cache,COR,U.S. House,1,DEM,Kurt Weiland,2
Cache,COV,Registered Voters,,,,291
Cache,COV,Registered Voters,,REP,,201
Cache,COV,Registered Voters,,DEM,,90
Cache,COV,Ballots Cast,,,,126
Cache,COV,Ballots Cast,,REP,,111
Cache,COV,Ballots Cast,,DEM,,15
Cache,COV,U.S. Senate,,REP,Mitt Romney,77
Cache,COV,U.S. Senate,,REP,Mike Kennedy,34
Cache,COV,U.S. House,1,DEM,Lee Castillo,8
Cache,COV,U.S. House,1,DEM,Kurt Weiland,6
Cache,CY,Registered Voters,,,,489
Cache,CY,Registered Voters,,REP,,326
Cache,CY,Registered Voters,,DEM,,163
Cache,CY,Ballots Cast,,,,211
Cache,CY,Ballots Cast,,REP,,190
Cache,CY,Ballots Cast,,DEM,,21
Cache,CY,U.S. Senate,,REP,Mitt Romney,155
Cache,CY,U.S. Senate,,REP,Mike Kennedy,35
Cache,CY,U.S. House,1,DEM,Lee Castillo,6
Cache,CY,U.S. House,1,DEM,Kurt Weiland,15
Cache,HYD01,Registered Voters,,,,1297
Cache,HYD01,Registered Voters,,REP,,840
Cache,HYD01,Registered Voters,,DEM,,457
Cache,HYD01,Ballots Cast,,,,509
Cache,HYD01,Ballots Cast,,REP,,457
Cache,HYD01,Ballots Cast,,DEM,,52
Cache,HYD01,U.S. Senate,,REP,Mitt Romney,373
Cache,HYD01,U.S. Senate,,REP,Mike Kennedy,84
Cache,HYD01,U.S. House,1,DEM,Lee Castillo,20
Cache,HYD01,U.S. House,1,DEM,Kurt Weiland,32
Cache,HYD02,Registered Voters,,,,1156
Cache,HYD02,Registered Voters,,REP,,724
Cache,HYD02,Registered Voters,,DEM,,432
Cache,HYD02,Ballots Cast,,,,428
Cache,HYD02,Ballots Cast,,REP,,373
Cache,HYD02,Ballots Cast,,DEM,,55
Cache,HYD02,U.S. Senate,,REP,Mitt Romney,281
Cache,HYD02,U.S. Senate,,REP,Mike Kennedy,91
Cache,HYD02,U.S. House,1,DEM,Lee Castillo,28
Cache,HYD02,U.S. House,1,DEM,Kurt Weiland,25
Cache,HYR01,Registered Voters,,,,763
Cache,HYR01,Registered Voters,,REP,,415
