county,precinct,office,district,party,candidate,early_voting,mail,vote_centers,votes
Salt Lake,ALT001,Registered Voters,,,,,,,21
Salt Lake,BLF001,Registered Voters,,,,,,,676
Salt Lake,BLF003,Registered Voters,,,,,,,625
Salt Lake,BLF004,Registered Voters,,,,,,,687
Salt Lake,BLF005,Registered Voters,,,,,,,20
Salt Lake,BLF006,Registered Voters,,,,,,,628
Salt Lake,BLF007,Registered Voters,,,,,,,591
Salt Lake,BRT901,Registered Voters,,,,,,,51
Salt Lake,BRT902,Registered Voters,,,,,,,2
Salt Lake,CBL001,Registered Voters,,,,,,,100
Salt Lake,CBL002,Registered Voters,,,,,,,74
Salt Lake,CCN001,Registered Voters,,,,,,,0
Salt Lake,COP001,Registered Voters,,,,,,,117
Salt Lake,COT001,Registered Voters,,,,,,,339
Salt Lake,COT003,Registered Voters,,,,,,,202
Salt Lake,COT004,Registered Voters,,,,,,,289
Salt Lake,COT007,Registered Voters,,,,,,,101
Salt Lake,COT008,Registered Voters,,,,,,,224
Salt Lake,COT009,Registered Voters,,,,,,,238
Salt Lake,COT011,Registered Voters,,,,,,,319
Salt Lake,COT012,Registered Voters,,,,,,,314
Salt Lake,COT013,Registered Voters,,,,,,,295
Salt Lake,COT014,Registered Voters,,,,,,,153
Salt Lake,COT015,Registered Voters,,,,,,,238
Salt Lake,COT016,Registered Voters,,,,,,,262
Salt Lake,COT017,Registered Voters,,,,,,,216
Salt Lake,COT018,Registered Voters,,,,,,,196
Salt Lake,COT019,Registered Voters,,,,,,,168
Salt Lake,COT020,Registered Voters,,,,,,,242
Salt Lake,COT021,Registered Voters,,,,,,,241
Salt Lake,COT022,Registered Voters,,,,,,,301
Salt Lake,COT023,Registered Voters,,,,,,,223
Salt Lake,COT024,Registered Voters,,,,,,,174
Salt Lake,COT025,Registered Voters,,,,,,,169
Salt Lake,COT026,Registered Voters,,,,,,,167
Salt Lake,COT027,Registered Voters,,,,,,,299
Salt Lake,COT028,Registered Voters,,,,,,,288
Salt Lake,COT029,Registered Voters,,,,,,,199
Salt Lake,COT030,Registered Voters,,,,,,,232
Salt Lake,COT031,Registered Voters,,,,,,,183
Salt Lake,COT033,Registered Voters,,,,,,,269
Salt Lake,COT034,Registered Voters,,,,,,,355
Salt Lake,COT036,Registered Voters,,,,,,,283
Salt Lake,COT037,Registered Voters,,,,,,,187
Salt Lake,COT038,Registered Voters,,,,,,,22
Salt Lake,COT039,Registered Voters,,,,,,,39
Salt Lake,DRP002,Registered Voters,,,,,,,551
Salt Lake,DRP003,Registered Voters,,,,,,,543
Salt Lake,DRP004,Registered Voters,,,,,,,499
Salt Lake,DRP006,Registered Voters,,,,,,,307
Salt Lake,DRP007,Registered Voters,,,,,,,316
Salt Lake,DRP008,Registered Voters,,,,,,,240
Salt Lake,DRP009,Registered Voters,,,,,,,409
Salt Lake,DRP010,Registered Voters,,,,,,,479
Salt Lake,DRP011,Registered Voters,,,,,,,647
Salt Lake,DRP013,Registered Voters,,,,,,,660
Salt Lake,DRP015,Registered Voters,,,,,,,694
Salt Lake,DRP017,Registered Voters,,,,,,,677
Salt Lake,DRP019,Registered Voters,,,,,,,623
Salt Lake,DRP020,Registered Voters,,,,,,,558
Salt Lake,DRP024,Registered Voters,,,,,,,561
Salt Lake,DRP025,Registered Voters,,,,,,,416
Salt Lake,DRP027,Registered Voters,,,,,,,534
Salt Lake,DRP028,Registered Voters,,,,,,,454
Salt Lake,DRP029,Registered Voters,,,,,,,595
Salt Lake,DRP030,Registered Voters,,,,,,,348
Salt Lake,DRP031,Registered Voters,,,,,,,633
Salt Lake,DRP032,Registered Voters,,,,,,,73
Salt Lake,EMG001,Registered Voters,,,,,,,181
Salt Lake,FUR001,Registered Voters,,,,,,,0
Salt Lake,GNT001,Registered Voters,,,,,,,77
Salt Lake,GNT004,Registered Voters,,,,,,,137
Salt Lake,GNT006,Registered Voters,,,,,,,134
Salt Lake,GSL001,Registered Voters,,,,,,,5
Salt Lake,HER001,Registered Voters,,,,,,,626
Salt Lake,HER002,Registered Voters,,,,,,,599
Salt Lake,HER003,Registered Voters,,,,,,,25
Salt Lake,HER004,Registered Voters,,,,,,,412
Salt Lake,HER005,Registered Voters,,,,,,,709
Salt Lake,HER006,Registered Voters,,,,,,,365
Salt Lake,HER007,Registered Voters,,,,,,,266
Salt Lake,HER008,Registered Voters,,,,,,,397
Salt Lake,HER009,Registered Voters,,,,,,,322
Salt Lake,HER010,Registered Voters,,,,,,,384
Salt Lake,HER011,Registered Voters,,,,,,,157
Salt Lake,HER012,Registered Voters,,,,,,,602
Salt Lake,HER013,Registered Voters,,,,,,,774
Salt Lake,HER014,Registered Voters,,,,,,,751
Salt Lake,HER015,Registered Voters,,,,,,,593
Salt Lake,HER016,Registered Voters,,,,,,,36
Salt Lake,HER017,Registered Voters,,,,,,,470
Salt Lake,HER018,Registered Voters,,,,,,,96
Salt Lake,HER019,Registered Voters,,,,,,,538
Salt Lake,HER020,Registered Voters,,,,,,,171
Salt Lake,HER022,Registered Voters,,,,,,,111
Salt Lake,HER024,Registered Voters,,,,,,,122
Salt Lake,HER025,Registered Voters,,,,,,,18
Salt Lake,HOL001,Registered Voters,,,,,,,339
Salt Lake,HOL003,Registered Voters,,,,,,,296
Salt Lake,HOL004,Registered Voters,,,,,,,208
Salt Lake,HOL005,Registered Voters,,,,,,,221
Salt Lake,HOL006,Registered Voters,,,,,,,411
Salt Lake,HOL007,Registered Voters,,,,,,,316
Salt Lake,HOL008,Registered Voters,,,,,,,253
Salt Lake,HOL009,Registered Voters,,,,,,,172
Salt Lake,HOL010,Registered Voters,,,,,,,264
