county,precinct,office,district,candidate,party,election_day,mail,provisional,votes
Morgan,Mountain Green 1.1,Registered Voters,,,,,,,536
Morgan,Mountain Green 1.1,Ballots Cast,,,,26,394,7,427
Morgan,Mountain Green 1.1,Straight Party,,,CON,0,1,0,1
Morgan,Mountain Green 1.1,Straight Party,,,UUP,0,0,0,0
Morgan,Mountain Green 1.1,Straight Party,,,LIB,0,1,0,1
Morgan,Mountain Green 1.1,Straight Party,,,REP,4,76,5,85
Morgan,Mountain Green 1.1,Straight Party,,,GRN,0,0,0,0
Morgan,Mountain Green 1.1,Straight Party,,,DEM,0,18,0,18
Morgan,Mountain Green 1.1,Straight Party,,,IAP,1,8,0,9
Morgan,Mountain Green 1.1,U S Senate,,Tim Aalders,CON,3,17,0,20
Morgan,Mountain Green 1.1,U S Senate,,Craig R. Bowden,LIB,3,7,0,10
Morgan,Mountain Green 1.1,U S Senate,,Reed C. McCandless,IAP,1,4,0,5
Morgan,Mountain Green 1.1,U S Senate,,Jenny Wilson,DEM,2,77,0,79
Morgan,Mountain Green 1.1,U S Senate,,Mitt Romney,REP,17,283,7,307
Morgan,Mountain Green 1.1,U S Senate,,Write-In Votes,,0,3,0,3
Morgan,Mountain Green 1.1,U S House,,Lee Castillo,DEM,2,73,0,75
Morgan,Mountain Green 1.1,U S House,,Rob Bishop,REP,13,262,5,280
Morgan,Mountain Green 1.1,U S House,,Eric Eliason,UUP,8,44,1,53
Morgan,Mountain Green 1.1,U S House,,Adam Davis,GRN,2,6,0,8
Morgan,Mountain Green 1.1,State Senate,18,Jason Yu,DEM,2,70,0,72
Morgan,Mountain Green 1.1,State Senate,18,Kevin L. Bryan,LIB,8,35,0,43
Morgan,Mountain Green 1.1,State Senate,18,Ann Millner,REP,16,279,6,301
Morgan,Mountain Green 1.1,Utah State House,53,Logan Wilde,REP,23,289,5,317
Morgan,Mountain Green 1.1,Utah State House,53,Christopher Neville,DEM,3,90,1,94
Morgan,Mountain Green 2.1,Registered Voters,,,,,,,554
Morgan,Mountain Green 2.1,Ballots Cast,,,,34,418,15,467
Morgan,Mountain Green 2.1,Straight Party,,,CON,0,1,0,1
Morgan,Mountain Green 2.1,Straight Party,,,UUP,0,0,0,0
Morgan,Mountain Green 2.1,Straight Party,,,LIB,0,2,0,2
Morgan,Mountain Green 2.1,Straight Party,,,REP,9,62,3,74
Morgan,Mountain Green 2.1,Straight Party,,,GRN,0,0,0,0
Morgan,Mountain Green 2.1,Straight Party,,,DEM,2,11,2,15
Morgan,Mountain Green 2.1,Straight Party,,,IAP,0,0,0,0
Morgan,Mountain Green 2.1,U S Senate,,Tim Aalders,CON,0,11,0,11
Morgan,Mountain Green 2.1,U S Senate,,Craig R. Bowden,LIB,2,4,0,6
Morgan,Mountain Green 2.1,U S Senate,,Reed C. McCandless,IAP,0,1,0,1
Morgan,Mountain Green 2.1,U S Senate,,Jenny Wilson,DEM,4,63,3,70
Morgan,Mountain Green 2.1,U S Senate,,Mitt Romney,REP,28,335,12,375
Morgan,Mountain Green 2.1,U S Senate,,Write-In Votes,,0,0,0,0
Morgan,Mountain Green 2.1,U S House,,Lee Castillo,DEM,3,66,3,72
Morgan,Mountain Green 2.1,U S House,,Rob Bishop,REP,28,300,11,339
Morgan,Mountain Green 2.1,U S House,,Eric Eliason,UUP,3,43,0,46
