county,precinct,office,district,party,candidate,mail,early_voting,election_day,provisional,votes,
Davis,Bountiful 01,Registered Voters,,,,,,,,649,
Davis,Bountiful 02,Registered Voters,,,,,,,,614,
Davis,Bountiful 03,Registered Voters,,,,,,,,546,
Davis,Bountiful 04,Registered Voters,,,,,,,,647,
Davis,Bountiful 05,Registered Voters,,,,,,,,525,
Davis,Bountiful 06,Registered Voters,,,,,,,,681,
Davis,Bountiful 07,Registered Voters,,,,,,,,664,
Davis,Bountiful 08,Registered Voters,,,,,,,,695,
Davis,Bountiful 09,Registered Voters,,,,,,,,790,
Davis,Bountiful 10,Registered Voters,,,,,,,,758,
Davis,Bountiful 11,Registered Voters,,,,,,,,746,
Davis,Bountiful 12,Registered Voters,,,,,,,,782,
Davis,Bountiful 13,Registered Voters,,,,,,,,519,
Davis,Bountiful 14,Registered Voters,,,,,,,,391,
Davis,Bountiful 15,Registered Voters,,,,,,,,424,
Davis,Bountiful 16,Registered Voters,,,,,,,,747,
Davis,Bountiful 17,Registered Voters,,,,,,,,757,
Davis,Bountiful 18,Registered Voters,,,,,,,,743,
Davis,Bountiful 19,Registered Voters,,,,,,,,797,
Davis,Bountiful 20,Registered Voters,,,,,,,,608,
Davis,Bountiful 21,Registered Voters,,,,,,,,674,
Davis,Bountiful 22,Registered Voters,,,,,,,,694,
Davis,Bountiful 23,Registered Voters,,,,,,,,856,
Davis,Bountiful 24,Registered Voters,,,,,,,,237,
Davis,Bountiful 25,Registered Voters,,,,,,,,825,
Davis,Bountiful 26,Registered Voters,,,,,,,,695,
Davis,Bountiful 27,Registered Voters,,,,,,,,520,
Davis,Bountiful 28,Registered Voters,,,,,,,,685,
Davis,Bountiful 29,Registered Voters,,,,,,,,612,
Davis,Bountiful 30,Registered Voters,,,,,,,,435,
Davis,Bountiful 31,Registered Voters,,,,,,,,475,
Davis,Bountiful 32,Registered Voters,,,,,,,,755,
Davis,Bountiful 33,Registered Voters,,,,,,,,604,
Davis,Centerville 01,Registered Voters,,,,,,,,735,
Davis,Centerville 02,Registered Voters,,,,,,,,749,
Davis,Centerville 03,Registered Voters,,,,,,,,705,
Davis,Centerville 04,Registered Voters,,,,,,,,669,
Davis,Centerville 05,Registered Voters,,,,,,,,576,
Davis,Centerville 06,Registered Voters,,,,,,,,750,
Davis,Centerville 07,Registered Voters,,,,,,,,894,
Davis,Centerville 08,Registered Voters,,,,,,,,604,
Davis,Centerville 09,Registered Voters,,,,,,,,659,
Davis,Centerville 10,Registered Voters,,,,,,,,788,
Davis,Centerville 11,Registered Voters,,,,,,,,552,
Davis,Centerville 12,Registered Voters,,,,,,,,785,
Davis,Clearfield 01,Registered Voters,,,,,,,,612,
Davis,Clearfield 02,Registered Voters,,,,,,,,683,
Davis,Clearfield 03,Registered Voters,,,,,,,,611,
Davis,Clearfield 04,Registered Voters,,,,,,,,887,
Davis,Clearfield 05,Registered Voters,,,,,,,,693,
Davis,Clearfield 06,Registered Voters,,,,,,,,707,
Davis,Clearfield 07,Registered Voters,,,,,,,,486,
Davis,Clearfield 08,Registered Voters,,,,,,,,653,
Davis,Clearfield 09,Registered Voters,,,,,,,,523,
Davis,Clearfield 10,Registered Voters,,,,,,,,795,
Davis,Clearfield 11,Registered Voters,,,,,,,,668,
Davis,Clearfield 12,Registered Voters,,,,,,,,659,
Davis,Clearfield 13,Registered Voters,,,,,,,,45,
Davis,Clearfield 14,Registered Voters,,,,,,,,72,
Davis,Clearfield 15,Registered Voters,,,,,,,,44,
Davis,Clearfield 16,Registered Voters,,,,,,,,558,
Davis,Clearfield 17,Registered Voters,,,,,,,,329,
Davis,Clinton 01,Registered Voters,,,,,,,,839,
Davis,Clinton 02,Registered Voters,,,,,,,,866,
Davis,Clinton 03,Registered Voters,,,,,,,,387,
Davis,Clinton 04,Registered Voters,,,,,,,,610,
Davis,Clinton 05,Registered Voters,,,,,,,,237,
Davis,Clinton 06,Registered Voters,,,,,,,,890,
Davis,Clinton 07,Registered Voters,,,,,,,,746,
Davis,Clinton 08,Registered Voters,,,,,,,,758,
Davis,Clinton 09,Registered Voters,,,,,,,,803,
Davis,Clinton 10,Registered Voters,,,,,,,,243,
Davis,Clinton 11,Registered Voters,,,,,,,,867,
Davis,Clinton 12,Registered Voters,,,,,,,,738,
Davis,Clinton 13,Registered Voters,,,,,,,,669,
Davis,Farmington 01,Registered Voters,,,,,,,,479,
Davis,Farmington 02,Registered Voters,,,,,,,,774,
Davis,Farmington 03,Registered Voters,,,,,,,,497,
Davis,Farmington 04,Registered Voters,,,,,,,,672,
Davis,Farmington 05,Registered Voters,,,,,,,,732,
Davis,Farmington 06,Registered Voters,,,,,,,,906,
Davis,Farmington 07,Registered Voters,,,,,,,,647,
Davis,Farmington 08,Registered Voters,,,,,,,,647,
Davis,Farmington 09,Registered Voters,,,,,,,,921,
Davis,Farmington 10,Registered Voters,,,,,,,,739,
Davis,Farmington 11,Registered Voters,,,,,,,,767,
Davis,Farmington 12,Registered Voters,,,,,,,,660,
Davis,Farmington 13,Registered Voters,,,,,,,,627,
Davis,Farmington 14,Registered Voters,,,,,,,,445,
Davis,Farmington 15,Registered Voters,,,,,,,,465,
Davis,Farmington 16,Registered Voters,,,,,,,,385,
Davis,Fruit Heights 01,Registered Voters,,,,,,,,547,
Davis,Fruit Heights 02,Registered Voters,,,,,,,,782,
Davis,Fruit Heights 03,Registered Voters,,,,,,,,914,
Davis,Fruit Heights 04,Registered Voters,,,,,,,,700,
Davis,Fruit Heights 05,Registered Voters,,,,,,,,508,
Davis,Hill A.F.B. 01,Registered Voters,,,,,,,,33,
Davis,Hill A.F.B. 02,Registered Voters,,,,,,,,18,
Davis,Hill A.F.B. 03,Registered Voters,,,,,,,,0,
Davis,Kaysville 01,Registered Voters,,,,,,,,889,
Davis,Kaysville 02,Registered Voters,,,,,,,,962,
Davis,Kaysville 03,Registered Voters,,,,,,,,777,
Davis,Kaysville 04,Registered Voters,,,,,,,,591,
Davis,Kaysville 05,Registered Voters,,,,,,,,755,
Davis,Kaysville 06,Registered Voters,,,,,,,,969,
Davis,Kaysville 07,Registered Voters,,,,,,,,641,
Davis,Kaysville 08,Registered Voters,,,,,,,,727,
Davis,Kaysville 09,Registered Voters,,,,,,,,652,
Davis,Kaysville 10,Registered Voters,,,,,,,,866,
Davis,Kaysville 11,Registered Voters,,,,,,,,929,
Davis,Kaysville 12,Registered Voters,,,,,,,,608,
Davis,Kaysville 13,Registered Voters,,,,,,,,693,
Davis,Kaysville 14,Registered Voters,,,,,,,,678,
Davis,Kaysville 15,Registered Voters,,,,,,,,640,
Davis,Kaysville 16,Registered Voters,,,,,,,,707,
Davis,Kaysville 17,Registered Voters,,,,,,,,864,
Davis,Kaysville 18,Registered Voters,,,,,,,,593,
Davis,Kaysville 19,Registered Voters,,,,,,,,738,
Davis,Kaysville 20,Registered Voters,,,,,,,,736,
Davis,Kaysville 21,Registered Voters,,,,,,,,604,
Davis,Kaysville 22,Registered Voters,,,,,,,,720,
Davis,Layton 01,Registered Voters,,,,,,,,531,
Davis,Layton 02,Registered Voters,,,,,,,,917,
Davis,Layton 03,Registered Voters,,,,,,,,548,
Davis,Layton 04,Registered Voters,,,,,,,,581,
Davis,Layton 05,Registered Voters,,,,,,,,637,
Davis,Layton 06,Registered Voters,,,,,,,,885,
Davis,Layton 07,Registered Voters,,,,,,,,885,
Davis,Layton 08,Registered Voters,,,,,,,,494,
Davis,Layton 09,Registered Voters,,,,,,,,695,
Davis,Layton 10,Registered Voters,,,,,,,,636,
Davis,Layton 11,Registered Voters,,,,,,,,633,
Davis,Layton 12,Registered Voters,,,,,,,,913,
Davis,Layton 13,Registered Voters,,,,,,,,567,
Davis,Layton 14,Registered Voters,,,,,,,,567,
Davis,Layton 15,Registered Voters,,,,,,,,895,
Davis,Layton 16,Registered Voters,,,,,,,,501,
Davis,Layton 17,Registered Voters,,,,,,,,673,
Davis,Layton 18,Registered Voters,,,,,,,,543,
Davis,Layton 19,Registered Voters,,,,,,,,716,
Davis,Layton 20,Registered Voters,,,,,,,,960,
Davis,Layton 21,Registered Voters,,,,,,,,683,
Davis,Layton 22,Registered Voters,,,,,,,,816,
Davis,Layton 23,Registered Voters,,,,,,,,895,
Davis,Layton 24,Registered Voters,,,,,,,,964,
Davis,Layton 25,Registered Voters,,,,,,,,360,
Davis,Layton 26,Registered Voters,,,,,,,,947,
Davis,Layton 27,Registered Voters,,,,,,,,700,
Davis,Layton 28,Registered Voters,,,,,,,,524,
Davis,Layton 29,Registered Voters,,,,,,,,246,
Davis,Layton 30,Registered Voters,,,,,,,,723,
Davis,Layton 31,Registered Voters,,,,,,,,707,
Davis,Layton 32,Registered Voters,,,,,,,,720,
Davis,Layton 33,Registered Voters,,,,,,,,686,
Davis,Layton 34,Registered Voters,,,,,,,,479,
Davis,Layton 35,Registered Voters,,,,,,,,634,
Davis,Layton 36,Registered Voters,,,,,,,,915,
Davis,Layton 37,Registered Voters,,,,,,,,746,
Davis,Layton 38,Registered Voters,,,,,,,,788,
Davis,Layton 39,Registered Voters,,,,,,,,765,
Davis,Layton 40,Registered Voters,,,,,,,,852,
Davis,Layton 41,Registered Voters,,,,,,,,968,
Davis,Layton 42,Registered Voters,,,,,,,,629,
Davis,Layton 43,Registered Voters,,,,,,,,674,
Davis,Layton 44,Registered Voters,,,,,,,,792,
Davis,Layton 45,Registered Voters,,,,,,,,564,
Davis,Layton 46,Registered Voters,,,,,,,,654,
Davis,Layton 47,Registered Voters,,,,,,,,495,
Davis,No. Salt Lake 01,Registered Voters,,,,,,,,743,
Davis,No. Salt Lake 02,Registered Voters,,,,,,,,922,
Davis,No. Salt Lake 03,Registered Voters,,,,,,,,731,
Davis,No. Salt Lake 04,Registered Voters,,,,,,,,768,
Davis,No. Salt Lake 05,Registered Voters,,,,,,,,567,
Davis,No. Salt Lake 06,Registered Voters,,,,,,,,656,
Davis,No. Salt Lake 07,Registered Voters,,,,,,,,382,
Davis,No. Salt Lake 08,Registered Voters,,,,,,,,703,
Davis,No. Salt Lake 09,Registered Voters,,,,,,,,744,
Davis,No. Salt Lake 10,Registered Voters,,,,,,,,627,
Davis,No. Salt Lake 11,Registered Voters,,,,,,,,645,
Davis,Sunset 01,Registered Voters,,,,,,,,420,
Davis,Sunset 02,Registered Voters,,,,,,,,651,
Davis,Sunset 03,Registered Voters,,,,,,,,753,
Davis,South Weber 01,Registered Voters,,,,,,,,"1,146",
Davis,South Weber 02,Registered Voters,,,,,,,,"1,023",
Davis,South Weber 03,Registered Voters,,,,,,,,"1,196",
Davis,South Weber 04,Registered Voters,,,,,,,,11,
Davis,Syracuse 01,Registered Voters,,,,,,,,946,
Davis,Syracuse 02,Registered Voters,,,,,,,,608,
Davis,Syracuse 03,Registered Voters,,,,,,,,743,
Davis,Syracuse 04,Registered Voters,,,,,,,,932,
Davis,Syracuse 05,Registered Voters,,,,,,,,637,
Davis,Syracuse 06,Registered Voters,,,,,,,,601,
Davis,Syracuse 07,Registered Voters,,,,,,,,379,
Davis,Syracuse 08,Registered Voters,,,,,,,,819,
Davis,Syracuse 09,Registered Voters,,,,,,,,516,
Davis,Syracuse 10,Registered Voters,,,,,,,,743,
Davis,Syracuse 11,Registered Voters,,,,,,,,522,
Davis,Syracuse 12,Registered Voters,,,,,,,,845,
Davis,Syracuse 13,Registered Voters,,,,,,,,836,
Davis,Syracuse 14,Registered Voters,,,,,,,,726,
Davis,Syracuse 15,Registered Voters,,,,,,,,0,
Davis,Syracuse 16,Registered Voters,,,,,,,,760,
Davis,Syracuse 17,Registered Voters,,,,,,,,701,
Davis,Syracuse 18,Registered Voters,,,,,,,,866,
Davis,Syracuse 19,Registered Voters,,,,,,,,590,
Davis,West Bountiful 01,Registered Voters,,,,,,,,556,
Davis,West Bountiful 02,Registered Voters,,,,,,,,843,
Davis,West Bountiful 03,Registered Voters,,,,,,,,878,
Davis,West Bountiful 04,Registered Voters,,,,,,,,409,
Davis,West Point 01,Registered Voters,,,,,,,,804,
Davis,West Point 02,Registered Voters,,,,,,,,652,
Davis,West Point 03,Registered Voters,,,,,,,,549,
Davis,West Point 04,Registered Voters,,,,,,,,733,
Davis,West Point 05,Registered Voters,,,,,,,,835,
Davis,West Point 06,Registered Voters,,,,,,,,562,
Davis,West Point 07,Registered Voters,,,,,,,,265,
Davis,West Point 08,Registered Voters,,,,,,,,516,
Davis,Woods Cross 01,Registered Voters,,,,,,,,362,
Davis,Woods Cross 02,Registered Voters,,,,,,,,806,
Davis,Woods Cross 03,Registered Voters,,,,,,,,854,
Davis,Woods Cross 04,Registered Voters,,,,,,,,301,
Davis,Woods Cross 05,Registered Voters,,,,,,,,592,
Davis,Woods Cross 06,Registered Voters,,,,,,,,441,
Davis,Woods Cross 07,Registered Voters,,,,,,,,629,
Davis,Bountiful 01,Ballots Cast,,,,270,0,19,3,292,
Davis,Bountiful 02,Ballots Cast,,,,200,0,12,0,212,
Davis,Bountiful 03,Ballots Cast,,,,210,0,14,2,226,
Davis,Bountiful 04,Ballots Cast,,,,247,0,12,0,259,
Davis,Bountiful 05,Ballots Cast,,,,200,0,10,1,211,
