county,office,district,party,candidate,precinct,votes,absentee,mail,election_day,provisional
Cache,Registered Voters,,,,LOGAN 01,444,,,,
Cache,Registered Voters,,,,LOGAN 02,590,,,,
Cache,Registered Voters,,,,LOGAN 03,734,,,,
Cache,Registered Voters,,,,LOGAN 04,591,,,,
Cache,Registered Voters,,,,LOGAN 05,949,,,,
Cache,Registered Voters,,,,LOGAN 06,584,,,,
Cache,Registered Voters,,,,LOGAN 07,340,,,,
Cache,Registered Voters,,,,LOGAN 08,320,,,,
Cache,Registered Voters,,,,LOGAN 09,499,,,,
Cache,Registered Voters,,,,LOGAN 10,381,,,,
Cache,Registered Voters,,,,LOGAN 11,455,,,,
Cache,Registered Voters,,,,LOGAN 12,400,,,,
Cache,Registered Voters,,,,LOGAN 13,821,,,,
Cache,Registered Voters,,,,LOGAN 14,579,,,,
Cache,Registered Voters,,,,LOGAN 15,547,,,,
Cache,Registered Voters,,,,LOGAN 16,615,,,,
Cache,Registered Voters,,,,LOGAN 17,684,,,,
Cache,Registered Voters,,,,LOGAN 18,478,,,,
Cache,Registered Voters,,,,LOGAN 19,409,,,,
Cache,Registered Voters,,,,LOGAN 20,818,,,,
Cache,Registered Voters,,,,LOGAN 21,499,,,,
Cache,Registered Voters,,,,LOGAN 22,893,,,,
Cache,Registered Voters,,,,LOGAN 23,537,,,,
Cache,Registered Voters,,,,LOGAN 24,338,,,,
Cache,Registered Voters,,,,LOGAN 25,634,,,,
Cache,Registered Voters,,,,LOGAN 26,607,,,,
Cache,Registered Voters,,,,LOGAN 27,797,,,,
Cache,Registered Voters,,,,LOGAN 28,277,,,,
Cache,Registered Voters,,,,LOGAN 29,852,,,,
Cache,Registered Voters,,,,LOGAN 30,755,,,,
Cache,Registered Voters,,,,LOGAN 31,509,,,,
Cache,Registered Voters,,,,LOGAN 32,353,,,,
Cache,Registered Voters,,,,LOGAN 33,762,,,,
Cache,Registered Voters,,,,AMALGA,237,,,,
Cache,Registered Voters,,,,BENSON,377,,,,
Cache,Registered Voters,,,,CLARKSTON,376,,,,
Cache,Registered Voters,,,,COLLEGE/YOUNG WARD,513,,,,
Cache,Registered Voters,,,,CORNISH,133,,,,
Cache,Registered Voters,,,,COVE,309,,,,
Cache,Registered Voters,,,,HYDE PARK 01,1373,,,,
Cache,Registered Voters,,,,HYDE PARK 02,1189,,,,
Cache,Registered Voters,,,,HYRUM 01,780,,,,
Cache,Registered Voters,,,,HYRUM 02,443,,,,
Cache,Registered Voters,,,,HYRUM 03,843,,,,
Cache,Registered Voters,,,,HYRUM 04,1004,,,,
Cache,Registered Voters,,,,HYRUM 05,689,,,,
Cache,Registered Voters,,,,LEWISTON 01,555,,,,
Cache,Registered Voters,,,,LEWISTON 02,317,,,,
Cache,Registered Voters,,,,MENDON 01,93,,,,
Cache,Registered Voters,,,,MENDON 02,1179,,,,
Cache,Registered Voters,,,,MILLVILLE 17,132,,,,
Cache,Registered Voters,,,,MILLVILLE 25,946,,,,
Cache,Registered Voters,,,,NEWTON,539,,,,
Cache,Registered Voters,,,,NIBLEY 01,1162,,,,
Cache,Registered Voters,,,,NIBLEY 03,1077,,,,
Cache,Registered Voters,,,,Nibley 17,763,,,,
Cache,Registered Voters,,,,Nibley 25,22,,,,
Cache,Registered Voters,,,,NORTH LOGAN 01,1060,,,,
Cache,Registered Voters,,,,NORTH LOGAN 02,725,,,,
Cache,Registered Voters,,,,NORTH LOGAN 03,756,,,,
