county,office,district,party,candidate,votes
San Juan,Ballots Cast,,,,1811
San Juan,Ballots Cast,,REP,,1811
San Juan,Ballots Cast Blank,,,,0
San Juan,County Commissioner,3,REP,Amer M. Tumeh,174
San Juan,County Commissioner,3,REP,Jamie Harvey,229
San Juan,County Commissioner,3,REP,Over Votes,0
San Juan,County Commissioner,3,REP,Under Votes,5
San Juan,County Sheriff,,REP,Lehi T. Lacy,988
San Juan,County Sheriff,,REP,Over Votes,0
San Juan,County Sheriff,,REP,Under Votes,39
San Juan,County Sheriff,,REP,Wyatt S Holyoak,784
San Juan,Registered Voters,,,,3475
San Juan,Registered Voters,,REP,,3475
San Juan,State House,69,REP,Daniel Gardner,311
San Juan,State House,69,REP,Logan J. Monson,1474
San Juan,State House,69,REP,Over Votes,0
San Juan,State House,69,REP,Under Votes,26
San Juan,U.S. House,3,REP,Celeste Maloy,536
San Juan,U.S. House,3,REP,Over Votes,0
San Juan,U.S. House,3,REP,Phil Lyman,1259
San Juan,U.S. House,3,REP,Under Votes,16
