county,precinct,office,district,seats,party,candidate,votes
Iron,3PK,Registered Voters,,,,,1020
Iron,3PK,Ballots Cast,,,,,928
Iron,3PK,President,,1,,Cornel Ronald WEST / Melina ABDULLAH,0
Iron,3PK,President,,1,,"Lucifer ""JUSTIN CASE"" EVERYLOVE",0
Iron,3PK,President,,1,CON,Joel SKOUSEN / Rik COMBS,1
Iron,3PK,President,,1,GRN,Jill STEIN / Rudolph WARE,2
Iron,3PK,President,,1,REP,Donald J. TRUMP/ JD VANCE,766
Iron,3PK,President,,1,LBT,Chase OLIVER / Mike ter MAAT,7
Iron,3PK,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,135
Iron,3PK,President,,1,,Claudia de la CRUZ / Karina Alexandra GARCIA,1
Iron,3PK,President,,1,,Write-In,8
Iron,3PK,President,,1,,Over Votes,0
Iron,3PK,President,,1,,Under Votes,8
Iron,3PK,U.S. Senate,,1,IAP,Carleton E. BOWEN,57
Iron,3PK,U.S. Senate,,1,REP,John CURTIS,729
Iron,3PK,U.S. Senate,,1,DEM,Caroline GLEICH,105
Iron,3PK,U.S. Senate,,1,,Write-In,5
Iron,3PK,U.S. Senate,,1,,Over Votes,0
Iron,3PK,U.S. Senate,,1,,Under Votes,32
Iron,3PK,U.S. House,2,1,DEM,Nathaniel E WOODWARD,107
Iron,3PK,U.S. House,2,1,CON,Cassie EASLEY,53
Iron,3PK,U.S. House,2,1,REP,Celeste MALOY,719
Iron,3PK,U.S. House,2,1,,Tyler MURSET,11
Iron,3PK,U.S. House,2,1,,Over Votes,0
Iron,3PK,U.S. House,2,1,,Under Votes,38
Iron,3PK,Governor,,1,REP,Spencer J. COX / Deidre M. HENDERSON,538
Iron,3PK,Governor,,1,IAP,Tommy WILLIAMS / Archie A. WILLIAMS III,26
Iron,3PK,Governor,,1,DEM,Brian SMITH KING / Rebekah CUMMINGS,91
Iron,3PK,Governor,,1,LBT,J. Robert LATHAM / Barry Evan SHORT,19
Iron,3PK,Governor,,1,,Tom TOMENY / William LANSING TAYLOR,5
Iron,3PK,Governor,,1,,Write-In,209
Iron,3PK,Governor,,1,,Over Votes,0
Iron,3PK,Governor,,1,,Under Votes,40
Iron,3PK,Attorney General,,1,REP,Derek BROWN,695
Iron,3PK,Attorney General,,1,DEM,Rudy J BAUTISTA,102
Iron,3PK,Attorney General,,1,LBT,W. Andrew McCULLOUGH,30
Iron,3PK,Attorney General,,1,,Austin HEPWORTH,31
Iron,3PK,Attorney General,,1,UUP,Michelle QUIST,25
Iron,3PK,Attorney General,,1,,Over Votes,0
Iron,3PK,Attorney General,,1,,Under Votes,45
Iron,3PK,State Auditor,,1,REP,Tina CANNON,729
Iron,3PK,State Auditor,,1,CON,Jeffery L. OSTLER,45
Iron,3PK,State Auditor,,1,DEM,Catherine VOUTAZ,98
Iron,3PK,State Auditor,,1,,Over Votes,0
Iron,3PK,State Auditor,,1,,Under Votes,56
Iron,3PK,State Treasurer,,1,UFP,Miles POMEROY,31
Iron,3PK,State Treasurer,,1,REP,Marlo M. OAKS,734
Iron,3PK,State Treasurer,,1,DEM,Neil A HANSEN,95
Iron,3PK,State Treasurer,,1,,Over Votes,0
Iron,3PK,State Treasurer,,1,,Under Votes,68
Iron,3PK,State House,70,1,REP,Carl R. ALBRECHT,765
Iron,3PK,State House,70,1,UUP,Zeno B. PARRY,80
Iron,3PK,State House,70,1,,Over Votes,0
Iron,3PK,State House,70,1,,Under Votes,83
Iron,3PK,County Commission,C,1,REP,Kenneth L. ROBINSON,755
Iron,3PK,County Commission,C,1,,Over Votes,0
Iron,3PK,County Commission,C,1,,Under Votes,173
Iron,3PK,County Assessor,,1,REP,Karsten M. REED,743
Iron,3PK,County Assessor,,1,,Over Votes,0
Iron,3PK,County Assessor,,1,,Under Votes,185
Iron,3PK,County Auditor,,1,REP,Lucas A. LITTLE,739
Iron,3PK,County Auditor,,1,,Over Votes,0
Iron,3PK,County Auditor,,1,,Under Votes,189
Iron,3PK,County Recorder/Surveyor,,1,REP,Carri R. JEFFRIES,745
Iron,3PK,County Recorder/Surveyor,,1,,Over Votes,0
Iron,3PK,County Recorder/Surveyor,,1,,Under Votes,183
Iron,3PK,County Treasurer,,1,REP,Nicole ROSENBERG,742
Iron,3PK,County Treasurer,,1,,Over Votes,0
Iron,3PK,County Treasurer,,1,,Under Votes,186
Iron,3PK,Iron School Board,1,1,,John R. TAYLOR,674
Iron,3PK,Iron School Board,1,1,,Over Votes,0
Iron,3PK,Iron School Board,1,1,,Under Votes,254
Iron,3PK,Retain Supreme Court Justice-Matthew B. DURRANT,,1,,Yes,643
Iron,3PK,Retain Supreme Court Justice-Matthew B. DURRANT,,1,,No,107
