county,precinct,office,district,seats,party,candidate,votes
Wayne,Fremont,President,,1,,Cornel Ronald WEST / Melina ABDULLAH,0
Wayne,Fremont,President,,1,,"Lucifer ""JUSTIN CASE"" EVERYLOVE",0
Wayne,Fremont,President,,1,CON,Joel SKOUSEN / Rik COMBS,2
Wayne,Fremont,President,,1,GRN,Jill STEIN / Rudolph WARE,0
Wayne,Fremont,President,,1,REP,Donald J. TRUMP/ JD VANCE,135
Wayne,Fremont,President,,1,LBT,Chase OLIVER / Mike ter MAAT,0
Wayne,Fremont,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,20
Wayne,Fremont,President,,1,,Claudia de la CRUZ / Karina Alexandra GARCIA,0
Wayne,Fremont,President,,1,,Write-In Totals,2
Wayne,Fremont,President,,1,,Not Assigned,2
Wayne,Fremont,U.S. Senate,,1,IAP,Carleton E. BOWEN,15
Wayne,Fremont,U.S. Senate,,1,REP,John CURTIS,128
Wayne,Fremont,U.S. Senate,,1,DEM,Caroline GLEICH,16
Wayne,Fremont,U.S. Senate,,1,,Write-In Totals,0
Wayne,Fremont,U.S. Senate,,1,,Not Assigned,0
Wayne,Fremont,U.S. House,2,1,DEM,Nathaniel E WOODWARD,14
Wayne,Fremont,U.S. House,2,1,CON,Cassie EASLEY,7
Wayne,Fremont,U.S. House,2,1,REP,Celeste MALOY,126
Wayne,Fremont,U.S. House,2,1,,Tyler MURSET,7
Wayne,Fremont,Governor,,1,REP,Spencer J. COX / Deidre M. HENDERSON,101
Wayne,Fremont,Governor,,1,IAP,Tommy WILLIAMS / Archie A. WILLIAMS III,3
Wayne,Fremont,Governor,,1,DEM,Brian SMITH KING / Rebekah CUMMINGS,13
Wayne,Fremont,Governor,,1,LBT,J. Robert LATHAM / Barry Evan SHORT,3
Wayne,Fremont,Governor,,1,,Tom TOMENY / William LANSING TAYLOR,0
Wayne,Fremont,Governor,,1,,Write-In Totals,36
Wayne,Fremont,Governor,,1,,Not Assigned,0
Wayne,Fremont,Attorney General,,1,REP,Derek BROWN,125
Wayne,Fremont,Attorney General,,1,DEM,Rudy J BAUTISTA,13
Wayne,Fremont,Attorney General,,1,LBT,W. Andrew McCULLOUGH,4
Wayne,Fremont,Attorney General,,1,,Austin HEPWORTH,7
Wayne,Fremont,Attorney General,,1,UUP,Michelle QUIST,7
Wayne,Fremont,State Auditor,,1,REP,Tina CANNON,135
Wayne,Fremont,State Auditor,,1,CON,Jeffery L. OSTLER,8
Wayne,Fremont,State Auditor,,1,DEM,Catherine VOUTAZ,11
Wayne,Fremont,State Treasurer,,1,UFP,Miles POMEROY,3
Wayne,Fremont,State Treasurer,,1,REP,Marlo M. OAKS,142
Wayne,Fremont,State Treasurer,,1,DEM,Neil A HANSEN,11
Wayne,Fremont,State Senate,27,1,REP,Derrin OWENS,145
Wayne,Fremont,State House,69,1,REP,Logan James MONSON,124
Wayne,Fremont,State House,69,1,DEM,Davina SMITH,29
Wayne,Fremont,State House,69,1,REP,Joann BRINTON,132
Wayne,Fremont,State House,69,1,REP,Roger Stanley BRIAN,124
Wayne,Fremont,County Assessor,,1,REP,Sharon E. TORGERSON,126
Wayne,Fremont,County Treasurer/Recorder,,1,REP,Colleen ALLEN,145
Wayne,Fremont,Local School Board,1,1,,Liz TORGERSON,132
Wayne,Fremont,Retain Supreme Court Justice-Matthew B. DURRANT,,1,,Yes,112
Wayne,Fremont,Retain Supreme Court Justice-Matthew B. DURRANT,,1,,No,24
Wayne,Fremont,Retain Appeals Court Judge-Ryan D. TENNEY,,1,,Yes,112
Wayne,Fremont,Retain Appeals Court Judge-Ryan D. TENNEY,,1,,No,24
Wayne,Fremont,Constitutional Amendment B,,1,,For,109
Wayne,Fremont,Constitutional Amendment B,,1,,Against,45
Wayne,Fremont,Constitutional Amendment C,,1,,For,137
Wayne,Fremont,Constitutional Amendment C,,1,,Against,16
Wayne,Fremont,Bond Issue Rural County Health Care Tax,,1,,For,116
Wayne,Fremont,Bond Issue Rural County Health Care Tax,,1,,Against,38
Wayne,Loa Inside/Outside,President,,1,,Cornel Ronald WEST / Melina ABDULLAH,0
Wayne,Loa Inside/Outside,President,,1,,"Lucifer ""JUSTIN CASE"" EVERYLOVE",0
Wayne,Loa Inside/Outside,President,,1,CON,Joel SKOUSEN / Rik COMBS,4
Wayne,Loa Inside/Outside,President,,1,GRN,Jill STEIN / Rudolph WARE,3
Wayne,Loa Inside/Outside,President,,1,REP,Donald J. TRUMP/ JD VANCE,327
Wayne,Loa Inside/Outside,President,,1,LBT,Chase OLIVER / Mike ter MAAT,1
Wayne,Loa Inside/Outside,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,32
Wayne,Loa Inside/Outside,President,,1,,Claudia de la CRUZ / Karina Alexandra GARCIA,0
Wayne,Loa Inside/Outside,President,,1,,Write-In Totals,0
Wayne,Loa Inside/Outside,President,,1,,Not Assigned,0
Wayne,Loa Inside/Outside,U.S. Senate,,1,IAP,Carleton E. BOWEN,15
Wayne,Loa Inside/Outside,U.S. Senate,,1,REP,John CURTIS,318
Wayne,Loa Inside/Outside,U.S. Senate,,1,DEM,Caroline GLEICH,26
Wayne,Loa Inside/Outside,U.S. Senate,,1,,Write-In Totals,0
Wayne,Loa Inside/Outside,U.S. Senate,,1,,Not Assigned,0
Wayne,Loa Inside/Outside,U.S. House,2,1,DEM,Nathaniel E WOODWARD,26
Wayne,Loa Inside/Outside,U.S. House,2,1,CON,Cassie EASLEY,8
Wayne,Loa Inside/Outside,U.S. House,2,1,REP,Celeste MALOY,319
Wayne,Loa Inside/Outside,U.S. House,2,1,,Tyler MURSET,8
Wayne,Loa Inside/Outside,Governor,,1,REP,Spencer J. COX / Deidre M. HENDERSON,238
Wayne,Loa Inside/Outside,Governor,,1,IAP,Tommy WILLIAMS / Archie A. WILLIAMS III,11
Wayne,Loa Inside/Outside,Governor,,1,DEM,Brian SMITH KING / Rebekah CUMMINGS,19
Wayne,Loa Inside/Outside,Governor,,1,LBT,J. Robert LATHAM / Barry Evan SHORT,4
Wayne,Loa Inside/Outside,Governor,,1,,Tom TOMENY / William LANSING TAYLOR,1
Wayne,Loa Inside/Outside,Governor,,1,,Write-In Totals,81
Wayne,Loa Inside/Outside,Governor,,1,,Not Assigned,0
Wayne,Loa Inside/Outside,Attorney General,,1,REP,Derek BROWN,321
Wayne,Loa Inside/Outside,Attorney General,,1,DEM,Rudy J BAUTISTA,22
Wayne,Loa Inside/Outside,Attorney General,,1,LBT,W. Andrew McCULLOUGH,6
Wayne,Loa Inside/Outside,Attorney General,,1,,Austin HEPWORTH,2
Wayne,Loa Inside/Outside,Attorney General,,1,UUP,Michelle QUIST,5
Wayne,Loa Inside/Outside,State Auditor,,1,REP,Tina CANNON,315
Wayne,Loa Inside/Outside,State Auditor,,1,CON,Jeffery L. OSTLER,9
Wayne,Loa Inside/Outside,State Auditor,,1,DEM,Catherine VOUTAZ,25
Wayne,Loa Inside/Outside,State Treasurer,,1,UFP,Miles POMEROY,5
Wayne,Loa Inside/Outside,State Treasurer,,1,REP,Marlo M. OAKS,319
Wayne,Loa Inside/Outside,State Treasurer,,1,DEM,Neil A HANSEN,25
Wayne,Loa Inside/Outside,State Senate,27,1,REP,Derrin OWENS,317
Wayne,Loa Inside/Outside,State House,69,1,REP,Logan James MONSON,319
Wayne,Loa Inside/Outside,State House,69,1,DEM,Davina SMITH,33
