county,precinct,office,district,seats,party,candidate,votes
Salt Lake,ALT001,Registered Voters,,,,,137
Salt Lake,ALT001,Ballots Cast,,,,,124
Salt Lake,ALT001,President,,1,REP,Donald J. TRUMP / JD VANCE,15
Salt Lake,ALT001,President,,1,DEM,Kamala D. HARRIS / Tim WALZ,107
Salt Lake,ALT001,President,,1,GRN,Jill STEIN / Rudolph WARE,0
Salt Lake,ALT001,President,,1,LBT,Chase OLIVER / Mike terr MAAT,0
Salt Lake,ALT001,President,,1,,Write-In,0
Salt Lake,ALT001,U.S. Senate,,1,REP,John CURTIS,17
Salt Lake,ALT001,U.S. Senate,,1,DEM,Caroline GLEICH,105
Salt Lake,ALT001,U.S. Senate,,1,IAP,Carlton E. BOWEN,0
Salt Lake,ALT001,U.S. Senate,,1,,Write-In,0
Salt Lake,ALT001,U.S. House,3,1,REP,Mike KENNEDY,16
Salt Lake,ALT001,U.S. House,3,1,DEM,Glenn J. WRIGHT,103
Salt Lake,ALT001,U.S. House,3,1,,Write-In,0
Salt Lake,ALT001,Governor,,1,REP,Spencer J. COX / Deidre M. HENDERSON,27
Salt Lake,ALT001,Governor,,1,DEM,Brian SMITH KING / Rebekah CUMMINGS,95
Salt Lake,ALT001,Governor,,1,LBT,J. Robert LATHAM / Barry Evan SHORT,1
Salt Lake,ALT001,Governor,,1,IAP,Tommy WILLIAMS / Archie A. WILLIAMS III,0
Salt Lake,ALT001,Governor,,1,UNA,Tom TOMENY / William Lansing TAYLOR,0
Salt Lake,ALT001,Governor,,1,,Write-In,0
Salt Lake,ALT001,Attorney General,,1,REP,Derek BROWN,20
Salt Lake,ALT001,Attorney General,,1,DEM,Rudy J BAUTISTA,89
Salt Lake,ALT001,Attorney General,,1,LBT,W. Andrew McCULLOUGH,3
Salt Lake,ALT001,Attorney General,,1,UNA,Austin HEPWORTH,0
Salt Lake,ALT001,Attorney General,,1,UUP,Michelle QUIST,9
Salt Lake,ALT001,State Auditor,,1,REP,Tina CANNON,19
Salt Lake,ALT001,State Auditor,,1,DEM,Catherine VOUTAZ,97
Salt Lake,ALT001,State Auditor,,1,CON,Jeffrey L. OSTLER,4
Salt Lake,ALT001,State Treasurer,,1,REP,Marlo M. OAKS,20
Salt Lake,ALT001,State Treasurer,,1,DEM,Neil A HANSEN,91
Salt Lake,ALT001,State Treasurer,,1,UFP,Miles POMEROY,7
Salt Lake,ALT002,Registered Voters,,,,,34
Salt Lake,ALT002,Ballots Cast,,,,,28
Salt Lake,ALT002,President,,1,REP,Donald J. TRUMP / JD VANCE,4
