county,precinct,office,district,candidate,party,votes
Box Elder,Bear River,Registered Voters,,,,612
Box Elder,Bear River,Ballots Cast,,,,576
Box Elder,Bear River,Ballots Cast Blank,,,,0
Box Elder,Bear River,President,,Brock Pierce / Karla Ballard,,2
Box Elder,Bear River,President,,Kanye West / Michelle Tidball,,1
Box Elder,Bear River,President,,Joseph R. Biden / Kamala D. Harris,DEM,59
Box Elder,Bear River,President,,Don Blankenship / William Mohr,CON,2
Box Elder,Bear River,President,,Jo Jorgensen / Jeremy Cohen,LIB,10
Box Elder,Bear River,President,,Joe McHugh / Elizabeth Storm,,2
Box Elder,Bear River,President,,Howie Hawkins / Angela Walker,GRN,0
Box Elder,Bear River,President,,Gloria La Riva,,2
Box Elder,Bear River,President,,Donald J. Trump / Michael R. Pence,REP,485
Box Elder,Bear River,President,,Write-In Totals,,9
Box Elder,Bear River,U.S. House,1,Darren Parry,DEM,71
Box Elder,Bear River,U.S. House,1,Blake David Moore,REP,463
Box Elder,Bear River,U.S. House,1,Write-In Totals,,1
Box Elder,Bear River,Governor,,Chris Peterson / Karina Brown,DEM,50
Box Elder,Bear River,Governor,,Greg Duerden / Wayne Hill,IAP,19
Box Elder,Bear River,Governor,,Spencer J. Cox / Deidre M. Henderson,REP,464
Box Elder,Bear River,Governor,,Daniel Rhead Cottam / Barry Evan Short,LIB,17
Box Elder,Bear River,Governor,,Write-In Totals,,20
Box Elder,Bear River,Attorney General,,Rudy J. Bautista,LIB,36
Box Elder,Bear River,Attorney General,,Greg Skordas,DEM,64
Box Elder,Bear River,Attorney General,,Sean D. Reyes,REP,462
Box Elder,Bear River,State Auditor,,John 'Frugal' Dougall,REP,469
Box Elder,Bear River,State Auditor,,Jeffrey L. Ostler,CON,50
Box Elder,Bear River,State Auditor,,Brian L. Fabbi,UUP,27
Box Elder,Bear River,State Treasurer,,Richard Proctor,CON,50
Box Elder,Bear River,State Treasurer,,David Damschen,REP,459
Box Elder,Bear River,State Treasurer,,Joseph Speciale,LIB,35
Box Elder,Bear River,State House,1,Amber Hardy,DEM,52
Box Elder,Bear River,State House,1,Joel Ferry,REP,471
Box Elder,Bear River,State House,1,Sherry Phipps,CON,31
Box Elder,Bear River East,Registered Voters,,,,328
Box Elder,Bear River East,Ballots Cast,,,,326
Box Elder,Bear River East,Ballots Cast Blank,,,,0
Box Elder,Bear River East,President,,Brock Pierce / Karla Ballard,,0
Box Elder,Bear River East,President,,Kanye West / Michelle Tidball,,1
Box Elder,Bear River East,President,,Joseph R. Biden / Kamala D. Harris,DEM,32
Box Elder,Bear River East,President,,Don Blankenship / William Mohr,CON,0
Box Elder,Bear River East,President,,Jo Jorgensen / Jeremy Cohen,LIB,6
Box Elder,Bear River East,President,,Joe McHugh / Elizabeth Storm,,0
Box Elder,Bear River East,President,,Howie Hawkins / Angela Walker,GRN,1
Box Elder,Bear River East,President,,Gloria La Riva,,0
Box Elder,Bear River East,President,,Donald J. Trump / Michael R. Pence,REP,281
Box Elder,Bear River East,President,,Write-In Totals,,5
Box Elder,Bear River East,U.S. House,1,Darren Parry,DEM,45
Box Elder,Bear River East,U.S. House,1,Blake David Moore,REP,258
Box Elder,Bear River East,U.S. House,1,Write-In Totals,,1
Box Elder,Bear River East,Governor,,Chris Peterson / Karina Brown,DEM,26
Box Elder,Bear River East,Governor,,Greg Duerden / Wayne Hill,IAP,4
Box Elder,Bear River East,Governor,,Spencer J. Cox / Deidre M. Henderson,REP,256
Box Elder,Bear River East,Governor,,Daniel Rhead Cottam / Barry Evan Short,LIB,10
Box Elder,Bear River East,Governor,,Write-In Totals,,25
Box Elder,Bear River East,Attorney General,,Rudy J. Bautista,LIB,10
Box Elder,Bear River East,Attorney General,,Greg Skordas,DEM,39
Box Elder,Bear River East,Attorney General,,Sean D. Reyes,REP,268
Box Elder,Bear River East,State Auditor,,John 'Frugal' Dougall,REP,272
Box Elder,Bear River East,State Auditor,,Jeffrey L. Ostler,CON,24
Box Elder,Bear River East,State Auditor,,Brian L. Fabbi,UUP,8
Box Elder,Bear River East,State Treasurer,,Richard Proctor,CON,27
Box Elder,Bear River East,State Treasurer,,David Damschen,REP,260
Box Elder,Bear River East,State Treasurer,,Joseph Speciale,LIB,15
Box Elder,Bear River East,State House,1,Amber Hardy,DEM,41
Box Elder,Bear River East,State House,1,Joel Ferry,REP,248
Box Elder,Bear River East,State House,1,Sherry Phipps,CON,26
Box Elder,Beaver Dam-Collinston,Registered Voters,,,,299
Box Elder,Beaver Dam-Collinston,Ballots Cast,,,,282
Box Elder,Beaver Dam-Collinston,Ballots Cast Blank,,,,0
Box Elder,Beaver Dam-Collinston,President,,Brock Pierce / Karla Ballard,,0
Box Elder,Beaver Dam-Collinston,President,,Kanye West / Michelle Tidball,,1
Box Elder,Beaver Dam-Collinston,President,,Joseph R. Biden / Kamala D. Harris,DEM,19
Box Elder,Beaver Dam-Collinston,President,,Don Blankenship / William Mohr,CON,0
Box Elder,Beaver Dam-Collinston,President,,Jo Jorgensen / Jeremy Cohen,LIB,3
Box Elder,Beaver Dam-Collinston,President,,Joe McHugh / Elizabeth Storm,,0
Box Elder,Beaver Dam-Collinston,President,,Howie Hawkins / Angela Walker,GRN,0
Box Elder,Beaver Dam-Collinston,President,,Gloria La Riva,,0
Box Elder,Beaver Dam-Collinston,President,,Donald J. Trump / Michael R. Pence,REP,258
Box Elder,Beaver Dam-Collinston,President,,Write-In Totals,,1
Box Elder,Beaver Dam-Collinston,U.S. House,1,Darren Parry,DEM,22
Box Elder,Beaver Dam-Collinston,U.S. House,1,Blake David Moore,REP,244
Box Elder,Beaver Dam-Collinston,U.S. House,1,Write-In Totals,,1
Box Elder,Beaver Dam-Collinston,Governor,,Chris Peterson / Karina Brown,DEM,12
Box Elder,Beaver Dam-Collinston,Governor,,Greg Duerden / Wayne Hill,IAP,10
Box Elder,Beaver Dam-Collinston,Governor,,Spencer J. Cox / Deidre M. Henderson,REP,234
Box Elder,Beaver Dam-Collinston,Governor,,Daniel Rhead Cottam / Barry Evan Short,LIB,6
Box Elder,Beaver Dam-Collinston,Governor,,Write-In Totals,,13
Box Elder,Beaver Dam-Collinston,Attorney General,,Rudy J. Bautista,LIB,9
Box Elder,Beaver Dam-Collinston,Attorney General,,Greg Skordas,DEM,20
Box Elder,Beaver Dam-Collinston,Attorney General,,Sean D. Reyes,REP,244
Box Elder,Beaver Dam-Collinston,State Auditor,,John 'Frugal' Dougall,REP,231
Box Elder,Beaver Dam-Collinston,State Auditor,,Jeffrey L. Ostler,CON,17
Box Elder,Beaver Dam-Collinston,State Auditor,,Brian L. Fabbi,UUP,9
Box Elder,Beaver Dam-Collinston,State Treasurer,,Richard Proctor,CON,17
Box Elder,Beaver Dam-Collinston,State Treasurer,,David Damschen,REP,236
Box Elder,Beaver Dam-Collinston,State Treasurer,,Joseph Speciale,LIB,11
Box Elder,Beaver Dam-Collinston,State House,1,Amber Hardy,DEM,18
Box Elder,Beaver Dam-Collinston,State House,1,Joel Ferry,REP,233
Box Elder,Beaver Dam-Collinston,State House,1,Sherry Phipps,CON,16
Box Elder,Brigham City 1,Registered Voters,,,,872
Box Elder,Brigham City 1,Ballots Cast,,,,767
Box Elder,Brigham City 1,Ballots Cast Blank,,,,1
Box Elder,Brigham City 1,President,,Brock Pierce / Karla Ballard,,2
Box Elder,Brigham City 1,President,,Kanye West / Michelle Tidball,,5
Box Elder,Brigham City 1,President,,Joseph R. Biden / Kamala D. Harris,DEM,198
Box Elder,Brigham City 1,President,,Don Blankenship / William Mohr,CON,2
Box Elder,Brigham City 1,President,,Jo Jorgensen / Jeremy Cohen,LIB,17
Box Elder,Brigham City 1,President,,Joe McHugh / Elizabeth Storm,,0
Box Elder,Brigham City 1,President,,Howie Hawkins / Angela Walker,GRN,2
Box Elder,Brigham City 1,President,,Gloria La Riva,,3
Box Elder,Brigham City 1,President,,Donald J. Trump / Michael R. Pence,REP,525
Box Elder,Brigham City 1,President,,Write-In Totals,,11
Box Elder,Brigham City 1,U.S. House,1,Darren Parry,DEM,189
Box Elder,Brigham City 1,U.S. House,1,Blake David Moore,REP,513
