precinct,office,district,party,candidate,votes
Bear River East,Registered Voters,,,,256
Bear River East,Registered Voters,,REP,,175
Bear River East,Registered Voters,,DEM,,12
Bear River East,Registered Voters,,NP,,69
Bear River East,Ballots Cast,,,,97
Bear River East,Ballots Cast,,REP,,92
Bear River East,Ballots Cast,,DEM,,5
Bear River East,Ballots Cast,,NP,,0
Bear River East,Blank Ballots Cast,,,,0
Bear River East,U.S. Senate,,REP,MITT ROMNEY,61
Bear River East,U.S. Senate,,REP,MIKE KENNEDY,31
Bear River East,State Senate,17,REP,SCOTT SANDALL,58
Bear River East,State Senate,17,REP,CLARK N. DAVIS,33
Bear River East,Commission A,,REP,CHARLES M. YOUNG,45
Bear River East,Commission A,,REP,JEFF HADFIELD,45
Bear River East,Commission B,,REP,JON E. ADAMS,50
Bear River East,Commission B,,REP,JEFFREY D. SCOTT,38
Bear River East,U.S. House,1,DEM,LEE CASTILLO,4
Bear River East,U.S. House,1,DEM,KURT WEILAND,1
Bear River,Registered Voters,,,,495
Bear River,Registered Voters,,REP,,328
Bear River,Registered Voters,,DEM,,7
Bear River,Registered Voters,,NP,,160
Bear River,Ballots Cast,,,,201
Bear River,Ballots Cast,,REP,,194
Bear River,Ballots Cast,,DEM,,7
Bear River,Ballots Cast,,NP,,0
Bear River,Blank Ballots Cast,,,,0
Bear River,U.S. Senate,,REP,MITT ROMNEY,119
Bear River,U.S. Senate,,REP,MIKE KENNEDY,75
Bear River,State Senate,17,REP,SCOTT SANDALL,121
Bear River,State Senate,17,REP,CLARK N. DAVIS,65
Bear River,Commission A,,REP,CHARLES M. YOUNG,95
Bear River,Commission A,,REP,JEFF HADFIELD,93
Bear River,Commission B,,REP,JON E. ADAMS,75
Bear River,Commission B,,REP,JEFFREY D. SCOTT,109
Bear River,U.S. House,1,DEM,LEE CASTILLO,4
Bear River,U.S. House,1,DEM,KURT WEILAND,3
Beaver Dam/Collinston,Registered Voters,,,,224
Beaver Dam/Collinston,Registered Voters,,REP,,166
Beaver Dam/Collinston,Registered Voters,,DEM,,4
Beaver Dam/Collinston,Registered Voters,,NP,,54
Beaver Dam/Collinston,Ballots Cast,,,,85
Beaver Dam/Collinston,Ballots Cast,,REP,,84
Beaver Dam/Collinston,Ballots Cast,,DEM,,1
Beaver Dam/Collinston,Ballots Cast,,NP,,0
Beaver Dam/Collinston,Blank Ballots Cast,,,,0
Beaver Dam/Collinston,U.S. Senate,,REP,MITT ROMNEY,53
Beaver Dam/Collinston,U.S. Senate,,REP,MIKE KENNEDY,31
Beaver Dam/Collinston,State Senate,17,REP,SCOTT SANDALL,56
Beaver Dam/Collinston,State Senate,17,REP,CLARK N. DAVIS,27
Beaver Dam/Collinston,Commission A,,REP,CHARLES M. YOUNG,43
Beaver Dam/Collinston,Commission A,,REP,JEFF HADFIELD,38
Beaver Dam/Collinston,Commission B,,REP,JON E. ADAMS,32
Beaver Dam/Collinston,Commission B,,REP,JEFFREY D. SCOTT,48
Beaver Dam/Collinston,U.S. House,1,DEM,LEE CASTILLO,0
Beaver Dam/Collinston,U.S. House,1,DEM,KURT WEILAND,1
Brigham City 01,Registered Voters,,,,760
Brigham City 01,Registered Voters,,REP,,382
Brigham City 01,Registered Voters,,DEM,,43
Brigham City 01,Registered Voters,,NP,,335
Brigham City 01,Ballots Cast,,,,274
Brigham City 01,Ballots Cast,,REP,,257
Brigham City 01,Ballots Cast,,DEM,,17
Brigham City 01,Ballots Cast,,NP,,0
Brigham City 01,Blank Ballots Cast,,,,1
Brigham City 01,U.S. Senate,,REP,MITT ROMNEY,188
Brigham City 01,U.S. Senate,,REP,MIKE KENNEDY,69
Brigham City 01,State Senate,17,REP,SCOTT SANDALL,121
Brigham City 01,State Senate,17,REP,CLARK N. DAVIS,130
Brigham City 01,Commission A,,REP,CHARLES M. YOUNG,64
Brigham City 01,Commission A,,REP,JEFF HADFIELD,191
Brigham City 01,Commission B,,REP,JON E. ADAMS,66
Brigham City 01,Commission B,,REP,JEFFREY D. SCOTT,187
Brigham City 01,U.S. House,1,DEM,LEE CASTILLO,10
Brigham City 01,U.S. House,1,DEM,KURT WEILAND,6
Brigham City 02,Registered Voters,,,,552
Brigham City 02,Registered Voters,,REP,,305
Brigham City 02,Registered Voters,,DEM,,26
Brigham City 02,Registered Voters,,NP,,221
Brigham City 02,Ballots Cast,,,,185
Brigham City 02,Ballots Cast,,REP,,181
Brigham City 02,Ballots Cast,,DEM,,4
Brigham City 02,Ballots Cast,,NP,,0
Brigham City 02,Blank Ballots Cast,,,,0
Brigham City 02,U.S. Senate,,REP,MITT ROMNEY,141
Brigham City 02,U.S. Senate,,REP,MIKE KENNEDY,40
Brigham City 02,State Senate,17,REP,SCOTT SANDALL,54
Brigham City 02,State Senate,17,REP,CLARK N. DAVIS,124
Brigham City 02,Commission A,,REP,CHARLES M. YOUNG,28
Brigham City 02,Commission A,,REP,JEFF HADFIELD,149
Brigham City 02,Commission B,,REP,JON E. ADAMS,65
Brigham City 02,Commission B,,REP,JEFFREY D. SCOTT,111
Brigham City 02,U.S. House,1,DEM,LEE CASTILLO,4
Brigham City 02,U.S. House,1,DEM,KURT WEILAND,0
Brigham City 03,Registered Voters,,,,557
Brigham City 03,Registered Voters,,REP,,271
Brigham City 03,Registered Voters,,DEM,,41
Brigham City 03,Registered Voters,,NP,,245
Brigham City 03,Ballots Cast,,,,182
Brigham City 03,Ballots Cast,,REP,,162
