candidate,office,district,party,county,precinct,By Mail,Polling,Provisional,Total,
,Registered Voters,,,Morgan,Mountain Green 1.1,536,536,536,536,
,Ballots Cast,,,Morgan,Mountain Green 1.1,409,6,0,415,
,Straight Party,,CON,Morgan,Mountain Green 1.1,1,0,0,1,
,Straight Party,,UUP,Morgan,Mountain Green 1.1,0,0,0,0,
,Straight Party,,LIB,Morgan,Mountain Green 1.1,1,0,0,1,
,Straight Party,,REP,Morgan,Mountain Green 1.1,79,0,0,79,
,Straight Party,,GRN,Morgan,Mountain Green 1.1,0,0,0,0,
,Straight Party,,DEM,Morgan,Mountain Green 1.1,18,0,0,18,
,Straight Party,,IAP,Morgan,Mountain Green 1.1,9,0,0,9,
Tim Aalders,U.S. Senate,,CON,Morgan,Mountain Green 1.1,20,0,0,20,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Mountain Green 1.1,10,0,0,10,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Mountain Green 1.1,5,0,0,5,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Mountain Green 1.1,78,0,0,78,
Mitt Romney,U.S. Senate,,REP,Morgan,Mountain Green 1.1,3,0,0,3,
Lee Castillo ,U. S. House,1,DEM,Morgan,Mountain Green 1.1,72,1,0,73,
Rob Bishop ,U. S. House,1,REP,Morgan,Mountain Green 1.1,270,3,0,273,
Eric Eliason,U. S. House,1,UUP,Morgan,Mountain Green 1.1,51,0,0,51,
Adam Davis,U. S. House,1,GRN,Morgan,Mountain Green 1.1,7,1,0,8,
Jason Yu,State Senate ,18,DEM,Morgan,Mountain Green 1.1,71,0,0,71,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Mountain Green 1.1,42,1,0,43,
Ann Millner ,State Senate ,18,REP,Morgan,Mountain Green 1.1,286,5,0,291,
Logan Wilde,State House,53,REP,Morgan,Mountain Green 1.1,303,5,0,308,
Christopher Neville,State House,53,DEM,Morgan,Mountain Green 1.1,91,1,0,92,
,Registered Voters,,,Morgan,Mountain Green 2.1,554,554,554,554,
,Ballots Cast,,,Morgan,Mountain Green 2.1,445,5,0,450,
,Straight Party,,CON,Morgan,Mountain Green 2.1,1,0,0,1,
,Straight Party,,UUP,Morgan,Mountain Green 2.1,0,0,0,0,
,Straight Party,,LIB,Morgan,Mountain Green 2.1,2,0,0,2,
,Straight Party,,REP,Morgan,Mountain Green 2.1,69,2,0,71,
,Straight Party,,GRN,Morgan,Mountain Green 2.1,0,0,0,0,
,Straight Party,,DEM,Morgan,Mountain Green 2.1,13,0,0,13,
,Straight Party,,IAP,Morgan,Mountain Green 2.1,0,0,0,0,
Tim Aalders,U.S. Senate,,CON,Morgan,Mountain Green 2.1,11,0,0,11,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Mountain Green 2.1,5,1,0,6,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Mountain Green 2.1,1,0,0,1,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Mountain Green 2.1,67,0,0,67,
Mitt Romney,U.S. Senate,,REP,Morgan,Mountain Green 2.1,0,0,0,0,
Lee Castillo ,U. S. House,1,DEM,Morgan,Mountain Green 2.1,69,0,0,69,
Rob Bishop ,U. S. House,1,REP,Morgan,Mountain Green 2.1,322,4,0,326,
Eric Eliason,U. S. House,1,UUP,Morgan,Mountain Green 2.1,44,1,0,45,
Adam Davis,U. S. House,1,GRN,Morgan,Mountain Green 2.1,3,0,0,3,
Jason Yu,State Senate ,18,DEM,Morgan,Mountain Green 2.1,63,0,0,63,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Mountain Green 2.1,17,1,0,18,
Ann Millner ,State Senate ,18,REP,Morgan,Mountain Green 2.1,357,4,0,361,
Logan Wilde,State House,53,REP,Morgan,Mountain Green 2.1,329,3,0,332,
Christopher Neville,State House,53,DEM,Morgan,Mountain Green 2.1,104,2,0,106,
,Registered Voters,,,Morgan,Mountain Green 3.1,363,363,363,363,
,Ballots Cast,,,Morgan,Mountain Green 3.1,285,1,0,286,
,Straight Party,,CON,Morgan,Mountain Green 3.1,1,0,0,1,
,Straight Party,,UUP,Morgan,Mountain Green 3.1,0,0,0,0,
,Straight Party,,LIB,Morgan,Mountain Green 3.1,0,0,0,0,
,Straight Party,,REP,Morgan,Mountain Green 3.1,53,0,0,53,
,Straight Party,,GRN,Morgan,Mountain Green 3.1,0,0,0,0,
,Straight Party,,DEM,Morgan,Mountain Green 3.1,3,0,0,3,
,Straight Party,,IAP,Morgan,Mountain Green 3.1,1,0,0,1,
Tim Aalders,U.S. Senate,,CON,Morgan,Mountain Green 3.1,15,0,0,15,
Craig R. Bowden ,U.S. Senate,,LIB,Morgan,Mountain Green 3.1,7,0,0,7,
Reed C. McCandless,U.S. Senate,,IAP,Morgan,Mountain Green 3.1,4,0,0,4,
Jenny Wilson,U. S. Senate,,DEM,Morgan,Mountain Green 3.1,27,0,0,27,
Mitt Romney,U.S. Senate,,REP,Morgan,Mountain Green 3.1,3,0,0,3,
Lee Castillo ,U. S. House,1,DEM,Morgan,Mountain Green 3.1,18,0,0,18,
Rob Bishop ,U. S. House,1,REP,Morgan,Mountain Green 3.1,227,1,0,228,
Eric Eliason,U. S. House,1,UUP,Morgan,Mountain Green 3.1,29,0,0,29,
Adam Davis,U. S. House,1,GRN,Morgan,Mountain Green 3.1,6,0,0,6,
Jason Yu,State Senate ,18,DEM,Morgan,Mountain Green 3.1,16,0,0,16,
Kevin L. Bryan ,State Senate ,18,LIB,Morgan,Mountain Green 3.1,19,0,0,19,
Ann Millner ,State Senate ,18,REP,Morgan,Mountain Green 3.1,238,1,0,239,
Logan Wilde,State House,53,REP,Morgan,Mountain Green 3.1,242,1,0,243,
Christopher Neville,State House,53,DEM,Morgan,Mountain Green 3.1,32,0,0,32,
,Registered Voters,,,Morgan,Peterson 4.2,738,738,738,738,
,Ballots Cast,,,Morgan,Peterson 4.2,563,2,0,565,
,Straight Party,,CON,Morgan,Peterson 4.2,0,0,0,0,
,Straight Party,,UUP,Morgan,Peterson 4.2,0,0,0,0,
