county,precinct,office,district,Candidate,party,polling,polling_2 ,polling_3 ,early_voting ,absentee ,provisional ,paper ,votes 
Washington,AV51,Registered Voters,,,,407,407,407,407,407,407,407,407
Washington,COAND,Registered Voters,,,,4,4,4,4,4,4,4,4
Washington,COCDSR,Registered Voters,,,,138,138,138,138,138,138,138,138
Washington,COCNBR,Registered Voters,,,,229,229,229,229,229,229,229,229
Washington,CODAV,Registered Voters,,,,562,562,562,562,562,562,562,562
Washington,CODIV,Registered Voters,,,,620,620,620,620,620,620,620,620
Washington,CODXDR,Registered Voters,,,,298,298,298,298,298,298,298,298
Washington,COGL,Registered Voters,,,,55,55,55,55,55,55,55,55
Washington,COGUBL,Registered Voters,,,,2,2,2,2,2,2,2,2
Washington,COHS74,Registered Voters,,,,37,27,27,27,27,27,27,27
Washington,COHV28,Registered Voters,,,,26,26,26,26,26,26,26,26
Washington,COHV29,Registered Voters,,,,7,7,7,7,7,7,7,7
Washington,COLEED,Registered Voters,,,,190,190,190,190,190,190,190,190
Washington,CONCF,Registered Voters,,,,106,106,106,106,106,106,106,106
Washington,CONH,Registered Voters,,,,610,610,610,610,610,610,610,610
Washington,COPINE,Registered Voters,,,,143,143,143,143,143,143,143,143
Washington,COSN28,Registered Voters,,,,29,29,29,29,29,29,29,29
Washington,COVE,Registered Voters,,,,225,225,225,225,225,225,225,225
Washington,COWH,Registered Voters,,,,537,587,587,587,587,587,587,587
Washington,EN82,Registered Voters,,,,881,881,881,881,881,881,881,881
Washington,HIL97,Registered Voters,,,,354,354,354,354,354,354,354,354
Washington,HU52,Registered Voters,,,,739,739,739,739,739,739,739,739
Washington,HU53,Registered Voters,,,,856,856,856,856,856,856,856,856
Washington,HU54,Registered Voters,,,,802,802,802,802,802,802,802,802
Washington,HU55,Registered Voters,,,,595,595,595,595,595,595,595,595
Washington,HU56,Registered Voters,,,,967,967,967,967,967,967,967,967
Washington,HU57,Registered Voters,,,,825,825,825,825,825,825,825,825
Washington,HU58,Registered Voters,,,,920,920,920,920,920,920,920,920
Washington,HU59,Registered Voters,,,,768,768,768,768,768,768,768,768
Washington,HU60,Registered Voters,,,,1165,1165,1165,1165,1165,1165,1165,1165
Washington,IV76,Registered Voters,,,,699,699,699,699,699,699,699,699
Washington,IV77,Registered Voters,,,,933,933,933,933,933,933,933,933
Washington,IV78,Registered Voters,,,,1006,1006,1006,1006,1006,1006,1006,1006
Washington,IV79,Registered Voters,,,,873,873,873,873,873,873,873,873
Washington,IV80,Registered Voters,,,,916,916,916,916,916,916,916,916
Washington,LA85,Registered Voters,,,,643,643,643,643,643,643,643,643
Washington,LA86,Registered Voters,,,,526,526,526,526,526,526,526,526
Washington,LA87,Registered Voters,,,,481,481,481,481,481,481,481,481
Washington,LE90,Registered Voters,,,,503,503,503,503,503,503,503,503
Washington,NH93,Registered Voters,,,,135,135,135,135,135,135,135,135
Washington,RC94,Registered Voters,,,,158,158,158,158,158,158,158,158
Washington,SC71,Registered Voters,,,,1070,1070,1070,1070,1070,1070,1070,1070
Washington,SC72,Registered Voters,,,,593,593,593,593,593,593,593,593
Washington,SC73,Registered Voters,,,,879,879,879,879,879,879,879,879
Washington,SC74,Registered Voters,,,,991,991,991,991,991,991,991,991
Washington,SG01,Registered Voters,,,,634,634,634,634,634,634,634,634
Washington,SG02,Registered Voters,,,,592,592,592,592,592,592,592,592
Washington,SG03,Registered Voters,,,,541,541,541,541,541,541,541,541
Washington,SG04,Registered Voters,,,,418,418,418,418,418,418,418,418
Washington,SG05,Registered Voters,,,,558,558,558,558,558,558,558,558
Washington,SG06,Registered Voters,,,,660,660,660,660,660,660,660,660
Washington,SG07,Registered Voters,,,,624,624,624,624,624,624,624,624
Washington,SG08,Registered Voters,,,,635,635,635,635,635,635,635,635
Washington,SG09,Registered Voters,,,,930,930,930,930,930,930,930,930
Washington,SG10,Registered Voters,,,,408,408,408,408,408,408,408,408
Washington,SG11,Registered Voters,,,,644,644,644,644,644,644,644,644
Washington,SG12,Registered Voters,,,,741,741,741,741,741,741,741,741
Washington,SG13,Registered Voters,,,,710,710,710,710,710,710,710,710
Washington,SG14,Registered Voters,,,,505,505,505,505,505,505,505,505
