county,office,district,party,candidate,votes
Beaver,U.S. Senate,,LIB,Craig R. Bowden,45
Box Elder,U.S. Senate,,LIB,Craig R. Bowden,533
Cache,U.S. Senate,,LIB,Craig R. Bowden,1106
Carbon,U.S. Senate,,LIB,Craig R. Bowden,168
Daggett,U.S. Senate,,LIB,Craig R. Bowden,7
Davis,U.S. Senate,,LIB,Craig R. Bowden,3232
Duchesne,U.S. Senate,,LIB,Craig R. Bowden,112
Emery,U.S. Senate,,LIB,Craig R. Bowden,73
Garfield,U.S. Senate,,LIB,Craig R. Bowden,36
Grand,U.S. Senate,,LIB,Craig R. Bowden,110
Iron,U.S. Senate,,LIB,Craig R. Bowden,597
Juab,U.S. Senate,,LIB,Craig R. Bowden,80
Kane,U.S. Senate,,LIB,Craig R. Bowden,89
Millard,U.S. Senate,,LIB,Craig R. Bowden,90
Morgan,U.S. Senate,,LIB,Craig R. Bowden,124
Piute,U.S. Senate,,LIB,Craig R. Bowden,21
Rich,U.S. Senate,,LIB,Craig R. Bowden,24
Salt Lake,U.S. Senate,,LIB,Craig R. Bowden,9854
San Juan,U.S. Senate,,LIB,Craig R. Bowden,127
Sanpete,U.S. Senate,,LIB,Craig R. Bowden,133
Sevier,U.S. Senate,,LIB,Craig R. Bowden,173
Summit,U.S. Senate,,LIB,Craig R. Bowden,383
Tooele,U.S. Senate,,LIB,Craig R. Bowden,726
Uintah,U.S. Senate,,LIB,Craig R. Bowden,306
Utah,U.S. Senate,,LIB,Craig R. Bowden,4635
Wasatch,U.S. Senate,,LIB,Craig R. Bowden,222
Washington,U.S. Senate,,LIB,Craig R. Bowden,1885
Wayne,U.S. Senate,,LIB,Craig R. Bowden,25
Weber,U.S. Senate,,LIB,Craig R. Bowden,2691
Beaver,U.S. Senate,,DEM,Jenny Wilson,298
Box Elder,U.S. Senate,,DEM,Jenny Wilson,2603
Cache,U.S. Senate,,DEM,Jenny Wilson,8854
Carbon,U.S. Senate,,DEM,Jenny Wilson,1879
Daggett,U.S. Senate,,DEM,Jenny Wilson,80
Davis,U.S. Senate,,DEM,Jenny Wilson,29249
Duchesne,U.S. Senate,,DEM,Jenny Wilson,569
Emery,U.S. Senate,,DEM,Jenny Wilson,509
Garfield,U.S. Senate,,DEM,Jenny Wilson,388
Grand,U.S. Senate,,DEM,Jenny Wilson,2138
Iron,U.S. Senate,,DEM,Jenny Wilson,2846
Juab,U.S. Senate,,DEM,Jenny Wilson,492
Kane,U.S. Senate,,DEM,Jenny Wilson,746
Millard,U.S. Senate,,DEM,Jenny Wilson,512
Morgan,U.S. Senate,,DEM,Jenny Wilson,600
Piute,U.S. Senate,,DEM,Jenny Wilson,77
Rich,U.S. Senate,,DEM,Jenny Wilson,124
Salt Lake,U.S. Senate,,DEM,Jenny Wilson,186856
San Juan,U.S. Senate,,DEM,Jenny Wilson,2096
Sanpete,U.S. Senate,,DEM,Jenny Wilson,1139
Sevier,U.S. Senate,,DEM,Jenny Wilson,771
Summit,U.S. Senate,,DEM,Jenny Wilson,10229
Tooele,U.S. Senate,,DEM,Jenny Wilson,5491
Uintah,U.S. Senate,,DEM,Jenny Wilson,1135
Utah,U.S. Senate,,DEM,Jenny Wilson,28856
Wasatch,U.S. Senate,,DEM,Jenny Wilson,3467
Washington,U.S. Senate,,DEM,Jenny Wilson,11757
Wayne,U.S. Senate,,DEM,Jenny Wilson,267
Weber,U.S. Senate,,DEM,Jenny Wilson,24513
Beaver,U.S. Senate,,REP,Mitt Romney,1620
Box Elder,U.S. Senate,,REP,Mitt Romney,14803
Cache,U.S. Senate,,REP,Mitt Romney,28344
Carbon,U.S. Senate,,REP,Mitt Romney,4387
Daggett,U.S. Senate,,REP,Mitt Romney,335
Davis,U.S. Senate,,REP,Mitt Romney,86840
Duchesne,U.S. Senate,,REP,Mitt Romney,4522
Emery,U.S. Senate,,REP,Mitt Romney,3033
Garfield,U.S. Senate,,REP,Mitt Romney,1626
Grand,U.S. Senate,,REP,Mitt Romney,1935
Iron,U.S. Senate,,REP,Mitt Romney,11286
Juab,U.S. Senate,,REP,Mitt Romney,3320
Kane,U.S. Senate,,REP,Mitt Romney,2135
Millard,U.S. Senate,,REP,Mitt Romney,3672
Morgan,U.S. Senate,,REP,Mitt Romney,4144
Piute,U.S. Senate,,REP,Mitt Romney,524
Rich,U.S. Senate,,REP,Mitt Romney,911
Salt Lake,U.S. Senate,,REP,Mitt Romney,207719
San Juan,U.S. Senate,,REP,Mitt Romney,2934
Sanpete,U.S. Senate,,REP,Mitt Romney,7367
Sevier,U.S. Senate,,REP,Mitt Romney,5810
Summit,U.S. Senate,,REP,Mitt Romney,9170
Tooele,U.S. Senate,,REP,Mitt Romney,14407
Uintah,U.S. Senate,,REP,Mitt Romney,7946
Utah,U.S. Senate,,REP,Mitt Romney,135240
Wasatch,U.S. Senate,,REP,Mitt Romney,8126
Washington,U.S. Senate,,REP,Mitt Romney,42602
Wayne,U.S. Senate,,REP,Mitt Romney,999
Weber,U.S. Senate,,REP,Mitt Romney,49458
Beaver,U.S. Senate,,IAP,Reed C. McCandless,30
Box Elder,U.S. Senate,,IAP,Reed C. McCandless,269
Cache,U.S. Senate,,IAP,Reed C. McCandless,345
Carbon,U.S. Senate,,IAP,Reed C. McCandless,217
Daggett,U.S. Senate,,IAP,Reed C. McCandless,6
Davis,U.S. Senate,,IAP,Reed C. McCandless,1952
Duchesne,U.S. Senate,,IAP,Reed C. McCandless,76
Emery,U.S. Senate,,IAP,Reed C. McCandless,169
Garfield,U.S. Senate,,IAP,Reed C. McCandless,19
Grand,U.S. Senate,,IAP,Reed C. McCandless,59
Iron,U.S. Senate,,IAP,Reed C. McCandless,206
Juab,U.S. Senate,,IAP,Reed C. McCandless,52
Kane,U.S. Senate,,IAP,Reed C. McCandless,38
Millard,U.S. Senate,,IAP,Reed C. McCandless,55
Morgan,U.S. Senate,,IAP,Reed C. McCandless,49
Piute,U.S. Senate,,IAP,Reed C. McCandless,8
Rich,U.S. Senate,,IAP,Reed C. McCandless,5
Salt Lake,U.S. Senate,,IAP,Reed C. McCandless,4265
San Juan,U.S. Senate,,IAP,Reed C. McCandless,97
Sanpete,U.S. Senate,,IAP,Reed C. McCandless,195
Sevier,U.S. Senate,,IAP,Reed C. McCandless,113
Summit,U.S. Senate,,IAP,Reed C. McCandless,139
Tooele,U.S. Senate,,IAP,Reed C. McCandless,338
Uintah,U.S. Senate,,IAP,Reed C. McCandless,158
Utah,U.S. Senate,,IAP,Reed C. McCandless,1739
Wasatch,U.S. Senate,,IAP,Reed C. McCandless,101
Washington,U.S. Senate,,IAP,Reed C. McCandless,911
Wayne,U.S. Senate,,IAP,Reed C. McCandless,17
Weber,U.S. Senate,,IAP,Reed C. McCandless,1080
Beaver,U.S. Senate,,CON,Tim Aalders,138
Box Elder,U.S. Senate,,CON,Tim Aalders,718
Cache,U.S. Senate,,CON,Tim Aalders,1250
Carbon,U.S. Senate,,CON,Tim Aalders,237
