county,precincts,office,district,party,candidate,votes
Duchesne,AL11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,AL11,President,,Green,Jill Stein,0
Duchesne,AL11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,AL11,President,,Libertarian,Gary Johnson,4
Duchesne,AL11,President,,Independent,Rocky Giordani,1
Duchesne,AL11,President,,Republican,Donald J. Trump,251
Duchesne,AL11,President,,Constitution,Darrell L. Castle,1
Duchesne,AL11,President,,Democratic,Hillary Rodham Clinton,14
Duchesne,AL12,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,AL12,President,,Green,Jill Stein,0
Duchesne,AL12,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,AL12,President,,Libertarian,Gary Johnson,1
Duchesne,AL12,President,,Independent,Rocky Giordani,0
Duchesne,AL12,President,,Republican,Donald J. Trump,50
Duchesne,AL12,President,,Constitution,Darrell L. Castle,0
Duchesne,AL12,President,,Democratic,Hillary Rodham Clinton,8
Duchesne,AR11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,AR11,President,,Green,Jill Stein,1
Duchesne,AR11,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,AR11,President,,Libertarian,Gary Johnson,1
Duchesne,AR11,President,,Independent,Rocky Giordani,0
Duchesne,AR11,President,,Republican,Donald J. Trump,100
Duchesne,AR11,President,,Constitution,Darrell L. Castle,2
Duchesne,AR11,President,,Democratic,Hillary Rodham Clinton,11
Duchesne,BB11,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,BB11,President,,Green,Jill Stein,0
Duchesne,BB11,President,,Socialist Workers,Alyson Kennedy,1
Duchesne,BB11,President,,Libertarian,Gary Johnson,2
Duchesne,BB11,President,,Independent,Rocky Giordani,0
Duchesne,BB11,President,,Republican,Donald J. Trump,222
Duchesne,BB11,President,,Constitution,Darrell L. Castle,5
Duchesne,BB11,President,,Democratic,Hillary Rodham Clinton,12
Duchesne,BB21,President,,Democratic,'Rocky' Roque De La Fuente,0
Duchesne,BB21,President,,Green,Jill Stein,0
Duchesne,BB21,President,,Socialist Workers,Alyson Kennedy,0
Duchesne,BB21,President,,Libertarian,Gary Johnson,5
Duchesne,BB21,President,,Independent,Rocky Giordani,0
