county,precincts,office,district,party,candidate,votes
Carbon,Scofield,President,,Democratic,Rocky De La Fuente,0
Carbon,Scofield,President,,Green,Jill Stein,0
Carbon,Scofield,President,,Socialist Workers,Alyson Kennedy,0
Carbon,Scofield,President,,Libertarian,Gary Johnson,1
Carbon,Pleasant Valley,President,,Democratic,Rocky De La Fuente,0
Carbon,Pleasant Valley,President,,Green,Jill Stein,0
Carbon,Pleasant Valley,President,,Socialist Workers,Alyson Kennedy,0
Carbon,Pleasant Valley,President,,Libertarian,Gary Johnson,0
Carbon,East Helper,President,,Democratic,Rocky De La Fuente,0
Carbon,East Helper,President,,Green,Jill Stein,1
Carbon,East Helper,President,,Socialist Workers,Alyson Kennedy,1
Carbon,East Helper,President,,Libertarian,Gary Johnson,14
Carbon,South Price,President,,Democratic,Rocky De La Fuente,1
Carbon,South Price,President,,Green,Jill Stein,6
Carbon,South Price,President,,Socialist Workers,Alyson Kennedy,1
Carbon,South Price,President,,Libertarian,Gary Johnson,18
Carbon,East Price,President,,Democratic,Rocky De La Fuente,0
Carbon,East Price,President,,Green,Jill Stein,4
Carbon,East Price,President,,Socialist Workers,Alyson Kennedy,0
Carbon,East Price,President,,Libertarian,Gary Johnson,8
Carbon,Wellington,President,,Democratic,Rocky De La Fuente,0
Carbon,Wellington,President,,Green,Jill Stein,2
Carbon,Wellington,President,,Socialist Workers,Alyson Kennedy,0
Carbon,Wellington,President,,Libertarian,Gary Johnson,11
Carbon,East Carbon,President,,Democratic,Rocky De La Fuente,0
Carbon,East Carbon,President,,Green,Jill Stein,2
Carbon,East Carbon,President,,Socialist Workers,Alyson Kennedy,1
Carbon,East Carbon,President,,Libertarian,Gary Johnson,10
Carbon,West Helper,President,,Democratic,Rocky De La Fuente,1
Carbon,West Helper,President,,Green,Jill Stein,1
Carbon,West Helper,President,,Socialist Workers,Alyson Kennedy,0
Carbon,West Helper,President,,Libertarian,Gary Johnson,12
Carbon,East County,President,,Democratic,Rocky De La Fuente,0
Carbon,East County,President,,Green,Jill Stein,0
Carbon,East County,President,,Socialist Workers,Alyson Kennedy,0
Carbon,East County,President,,Libertarian,Gary Johnson,10
Carbon,Fairgrounds,President,,Democratic,Rocky De La Fuente,0
Carbon,Fairgrounds,President,,Green,Jill Stein,1
Carbon,Fairgrounds,President,,Socialist Workers,Alyson Kennedy,0
Carbon,Fairgrounds,President,,Libertarian,Gary Johnson,8
Carbon,Castle Heights North,President,,Democratic,Rocky De La Fuente,1
Carbon,Castle Heights North,President,,Green,Jill Stein,3
