county,precincts,office,district,party,candidate,votes
Davis,Bountiful 1,President,,Democratic,Fuente,0
Davis,Bountiful 1,President,,Green,Stein,3
Davis,Bountiful 1,President,,Socialist Workers,Kennedy,0
Davis,Bountiful 2,President,,Democratic,Fuente,3
Davis,Bountiful 2,President,,Green,Stein,10
Davis,Bountiful 2,President,,Socialist Workers,Kennedy,0
Davis,Bountiful 3,President,,Democratic,Fuente,1
Davis,Bountiful 3,President,,Green,Stein,4
Davis,Bountiful 3,President,,Socialist Workers,Kennedy,0
Davis,Bountiful 4,President,,Democratic,Fuente,0
Davis,Bountiful 4,President,,Green,Stein,4
Davis,Bountiful 4,President,,Socialist Workers,Kennedy,0
Davis,Bountiful 5,President,,Democratic,Fuente,0
Davis,Bountiful 5,President,,Green,Stein,4
Davis,Bountiful 5,President,,Socialist Workers,Kennedy,0
Davis,Bountiful 6,President,,Democratic,Fuente,1
Davis,Bountiful 6,President,,Green,Stein,8
Davis,Bountiful 6,President,,Socialist Workers,Kennedy,2
Davis,Bountiful 7,President,,Democratic,Fuente,1
Davis,Bountiful 7,President,,Green,Stein,8
Davis,Bountiful 7,President,,Socialist Workers,Kennedy,2
Davis,Bountiful 8,President,,Democratic,Fuente,1
Davis,Bountiful 8,President,,Green,Stein,6
Davis,Bountiful 8,President,,Socialist Workers,Kennedy,1
Davis,Bountiful 9,President,,Democratic,Fuente,1
Davis,Bountiful 9,President,,Green,Stein,4
Davis,Bountiful 9,President,,Socialist Workers,Kennedy,0
Davis,Bountiful 10,President,,Democratic,Fuente,0
Davis,Bountiful 10,President,,Green,Stein,0
Davis,Bountiful 10,President,,Socialist Workers,Kennedy,0
Davis,Bountiful 11,President,,Democratic,Fuente,0
Davis,Bountiful 11,President,,Green,Stein,4
Davis,Bountiful 11,President,,Socialist Workers,Kennedy,0
Davis,Bountiful 12,President,,Democratic,Fuente,0
Davis,Bountiful 12,President,,Green,Stein,3
Davis,Bountiful 12,President,,Socialist Workers,Kennedy,0
