county,precinct,office,district,candidate,party,votes,election_day,mail,absentee,provisional
San Pete,FAIRVIEW MUNICIPAL,President,,Rocky De La Fuente,,0,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Jill Stein,,2,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Alyson Kennedy,,0,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Gary Johnson,Libertarian,12,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Rocky Giordani,Independent American,0,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Donald Trump,Republican,355,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Darrell Castle,Constitution,8,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Hillary Clinton,Democratic,29,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Monica Moorehead,,0,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Evan McMullin,,123,,,,
San Pete,FAIRVIEW MUNICIPAL,President,,Write In,,5,,,,
San Pete,FAIRVIEW MUNICIPAL,U.S. Senate,,Misty Snow,Democratic,42,,,,
San Pete,FAIRVIEW MUNICIPAL,U.S. Senate,,Bill Barron,,9,,,,
San Pete,FAIRVIEW MUNICIPAL,U.S. Senate,,Stoney Fonua,Independent American,20,,,,
San Pete,FAIRVIEW MUNICIPAL,U.S. Senate,,Mike Lee,Republican,455,,,,
San Pete,FAIRVIEW MUNICIPAL,U.S. House,4,Collin Simonsen,Constitution,20,,,,
San Pete,FAIRVIEW MUNICIPAL,U.S. House,4,Doug Owens,Democratic,104,,,,
San Pete,FAIRVIEW MUNICIPAL,U.S. House,4,Mia Love,Republican,401,,,,
San Pete,FAIRVIEW MUNICIPAL,Governor,,Gary Herbert,Republican,497,,,,
San Pete,FAIRVIEW MUNICIPAL,Governor,,Dell Schanze,Independent American,8,,,,
San Pete,FAIRVIEW MUNICIPAL,Governor,,Brian Kamerath,Libertarian,4,,,,
San Pete,FAIRVIEW MUNICIPAL,Governor,,Mike Weinholtz,Democratic,28,,,,
San Pete,FAIRVIEW MUNICIPAL,Governor,,Write In,,0,,,,
San Pete,FAIRVIEW MUNICIPAL,Attorney General,,Michael Isbell,Independent American,12,,,,
San Pete,FAIRVIEW MUNICIPAL,Attorney General,,Jon Harper,Democratic,46,,,,
San Pete,FAIRVIEW MUNICIPAL,Attorney General,,Sean Reyes,Republican,442,,,,
San Pete,FAIRVIEW MUNICIPAL,Attorney General,,W. Andrew McCullough,Libertarian,14,,,,
San Pete,FAIRVIEW MUNICIPAL,State Auditor,,John Dougall,Republican,399,,,,
San Pete,FAIRVIEW MUNICIPAL,State Auditor,,Jared Green,Independent American,34,,,,
San Pete,FAIRVIEW MUNICIPAL,State Auditor,,Mike Mitchell,Democratic,76,,,,
San Pete,FAIRVIEW MUNICIPAL,State Treasurer,,Richard Proctor,Constitution,42,,,,
San Pete,FAIRVIEW MUNICIPAL,State Treasurer,,Neil Hansen,Democratic,87,,,,
San Pete,FAIRVIEW MUNICIPAL,State Treasurer,,David Damschen,Republican,381,,,,
San Pete,FAIRVIEW MUNICIPAL,State Senate,24,Ralph Okerlund,Republican,454,,,,
San Pete,FAIRVIEW MUNICIPAL,State House,58,Derrin Owens,Republican,451,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Rocky De La Fuente,,0,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Jill Stein,,1,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Alyson Kennedy,,0,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Gary Johnson,Libertarian,7,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Rocky Giordani,Independent American,2,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Donald Trump,Republican,363,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Darrell Castle,Constitution,9,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Hillary Clinton,Democratic,56,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Monica Moorehead,,1,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Evan McMullin,,92,,,,
San Pete,FAIRVIEW UNINCORPORATED,President,,Write In,,3,,,,
San Pete,FAIRVIEW UNINCORPORATED,U.S. Senate,,Misty Snow,Democratic,59,,,,
San Pete,FAIRVIEW UNINCORPORATED,U.S. Senate,,Bill Barron,,8,,,,
San Pete,FAIRVIEW UNINCORPORATED,U.S. Senate,,Stoney Fonua,Independent American,9,,,,
San Pete,FAIRVIEW UNINCORPORATED,U.S. Senate,,Mike Lee,Republican,451,,,,
