county,precincts,office,district,party,candidate,votes
Garfield,Henrieville,President,,Republican,Donald J. Trump,75
Garfield,Henrieville,President,,Constitution,Darrell L. Castle,0
Garfield,Henrieville,President,,Democratic,Hillary Rodham Clinton,15
Garfield,Henrieville,President,,Workers World,Monica Moorehead,0
Garfield,Henrieville,President,,Independent,Evan McMullin,27
Garfield,Pang1,President,,Independent,Rocky Giordani,1
Garfield,Pang1,President,,Republican,Donald J. Trump,391
Garfield,Pang1,President,,Constitution,Darrell L. Castle,0
Garfield,Pang1,President,,Democratic,Hillary Rodham Clinton,50
Garfield,Pang1,President,,Workers World,Monica Moorehead,1
Garfield,Pang1,President,,Independent,Evan McMullin,67
Garfield,Pang2,President,,Independent,Rocky Giordani,0
Garfield,Pang2,President,,Republican,Donald J. Trump,302
Garfield,Pang2,President,,Constitution,Darrell L. Castle,0
Garfield,Pang2,President,,Democratic,Hillary Rodham Clinton,35
Garfield,Pang2,President,,Workers World,Monica Moorehead,1
Garfield,Pang2,President,,Independent,Evan McMullin,53
Garfield,Ticaboo,President,,Independent,Rocky Giordani,0
Garfield,Ticaboo,President,,Republican,Donald J. Trump,14
Garfield,Ticaboo,President,,Constitution,Darrell L. Castle,0
Garfield,Ticaboo,President,,Democratic,Hillary Rodham Clinton,3
Garfield,Ticaboo,President,,Workers World,Monica Moorehead,0
Garfield,Ticaboo,President,,Independent,Evan McMullin,5
Garfield,Tropic,President,,Independent,Rocky Giordani,0
Garfield,Tropic,President,,Republican,Donald J. Trump,199
Garfield,Tropic,President,,Constitution,Darrell L. Castle,2
Garfield,Tropic,President,,Democratic,Hillary Rodham Clinton,24
Garfield,Tropic,President,,Workers World,Monica Moorehead,0
Garfield,Tropic,President,,Independent,Evan McMullin,33
Garfield,Bryce,President,,Independent,Rocky Giordani,0
Garfield,Bryce,President,,Republican,Donald J. Trump,24
Garfield,Bryce,President,,Constitution,Darrell L. Castle,0
Garfield,Bryce,President,,Democratic,Hillary Rodham Clinton,2
Garfield,Bryce,President,,Workers World,Monica Moorehead,0
Garfield,Bryce,President,,Independent,Evan McMullin,2
Garfield,Antimony,President,,,Write-In,0
Garfield,Boulder,President,,,Write-In,5
Garfield,Cannonville,President,,,Write-In,0
Garfield,Escalante,President,,,Write-In,1
Garfield,Hatch,President,,,Write-In,1
Garfield,Henrieville,President,,,Write-In,0
Garfield,Pang1,President,,,Write-In,3
Garfield,Pang2,President,,,Write-In,3
Garfield,Ticaboo,President,,,Write-In,1
Garfield,Tropic,President,,,Write-In,5
Garfield,Bryce,President,,,Write-In,0
Garfield,Antimony,U.S. Senate,,Democratic,Misty K Snow,5
Garfield,Antimony,U.S. Senate,,Independent,Bill Barron,1
Garfield,Antimony,U.S. Senate,,Independent American,Stoney Fonua,1
Garfield,Boulder,U.S. Senate,,Democratic,Misty K Snow,90
Garfield,Boulder,U.S. Senate,,Independent,Bill Barron,22
Garfield,Boulder,U.S. Senate,,Independent American,Stoney Fonua,4
Garfield,Cannonville,U.S. Senate,,Democratic,Misty K Snow,4
Garfield,Cannonville,U.S. Senate,,Independent,Bill Barron,1
Garfield,Cannonville,U.S. Senate,,Independent American,Stoney Fonua,0
Garfield,Escalante,U.S. Senate,,Democratic,Misty K Snow,121
