county,party,district,candidate,precinct,office,votes,early_voting,election_day
Summit,,,,1 Deer Valley North,Registered Voters,414,,
Summit,,,,2 Old Town South,Registered Voters,278,,
Summit,,,,3 Prospector,Registered Voters,340,,
Summit,,,,4 Thaynes Canyon,Registered Voters,486,,
Summit,,,,5 Park Meadows South,Registered Voters,506,,
Summit,,,,6 Quarry Mountain,Registered Voters,822,,
Summit,,,,7 Park West,Registered Voters,1251,,
Summit,,,,8 Silver Creek Upper,Registered Voters,335,,
Summit,,,,9 Lower Pinebrook,Registered Voters,973,,
Summit,,,,10 Summit Park West,Registered Voters,320,,
Summit,,,,11 South Summit South,Registered Voters,346,,
Summit,,,,12 Kamas,Registered Voters,779,,
Summit,,,,13 South Summit East,Registered Voters,398,,
Summit,,,,14 Oakley,Registered Voters,810,,
Summit,,,,15:2 Peoa,Registered Voters,11,,
Summit,,,,15:20 Peoa,Registered Voters,210,,
Summit,,,,15:32 Peoa,Registered Voters,140,,
Summit,,,,16 Silver Springs,Registered Voters,799,,
Summit,,,,17:2 Wanship,Registered Voters,216,,
Summit,,,,17:10 Wanship,Registered Voters,475,,
Summit,,,,17:32 Wanship,Registered Voters,16,,
Summit,,,,18 Hoytsville,Registered Voters,523,,
Summit,,,,19 Coalville,Registered Voters,709,,
Summit,,,,20 Chalk Creek,Registered Voters,282,,
Summit,,,,21 Weber Canyon,Registered Voters,144,,
Summit,,,,22 South Summit West,Registered Voters,301,,
Summit,,,,23 Highland Estates West,Registered Voters,653,,
Summit,,,,24 North Summit North,Registered Voters,206,,
Summit,,,,25 Henefer,Registered Voters,424,,
Summit,,,,26 Ranch Place,Registered Voters,740,,
Summit,,,,27 Jeremy West,Registered Voters,559,,
Summit,,,,28 Francis,Registered Voters,651,,
Summit,,,,29 Wagon Wheel,Registered Voters,285,,
Summit,,,,30 Summit Park East,Registered Voters,797,,
Summit,,,,31 Deer Valley South,Registered Voters,882,,
Summit,,,,32 Old Town North,Registered Voters,424,,
Summit,,,,33 Sidewinder,Registered Voters,469,,
Summit,,,,34 Bitner,Registered Voters,809,,
Summit,,,,35 Park Meadows North,Registered Voters,814,,
Summit,,,,36 Ranch Road South,Registered Voters,329,,
Summit,,,,37 Jeremy East,Registered Voters,770,,
Summit,,,,38 Highland Estates East,Registered Voters,738,,
Summit,,,,39 Pinebrook North,Registered Voters,492,,
Summit,,,,40 Moose Hollow,Registered Voters,707,,
Summit,,,,41 Upper Pinebrook,Registered Voters,337,,
Summit,,,,42 Snyders Mill,Registered Voters,566,,
Summit,,,,43 Kimball Canyon,Registered Voters,93,,
Summit,,,,44 Silver Creek Lower,Registered Voters,371,,
Summit,,,,45 Promontory Ridge,Registered Voters,62,,
Summit,,,,1 Deer Valley North,Ballots Cast,102,,
Summit,,,,2 Old Town South,Ballots Cast,99,,
Summit,,,,3 Prospector,Ballots Cast,108,,
Summit,,,,4 Thaynes Canyon,Ballots Cast,185,,
Summit,,,,5 Park Meadows South,Ballots Cast,203,,
Summit,,,,6 Quarry Mountain,Ballots Cast,365,,
Summit,,,,7 Park West,Ballots Cast,410,,
