county,precinct,office,district,candidate,party,mail,provisional,absentee,votes
Cache,LOGAN 01 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,45,0,0,45
Cache,LOGAN 01CSD ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,11,0,0,11
Cache,LOGAN 02 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,46,1,0,47
Cache,LOGAN 03 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,32,0,0,32
Cache,LOGAN 04 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,44,0,0,44
Cache,LOGAN 05 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,113,2,0,115
Cache,LOGAN 06 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,59,1,0,60
Cache,LOGAN 07 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,44,1,0,45
Cache,LOGAN 08 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,24,2,0,26
Cache,LOGAN 09 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,67,1,0,68
Cache,LOGAN 10 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,39,2,0,41
Cache,LOGAN 11 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,34,0,0,34
Cache,LOGAN 12 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,17,0,0,17
Cache,LOGAN 13 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,152,0,0,152
Cache,LOGAN 14 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,98,1,0,99
Cache,LOGAN 15 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,25,1,0,26
Cache,LOGAN 16 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,69,1,0,70
Cache,LOGAN 17 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,28,0,0,28
Cache,LOGAN 18 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,8,0,0,8
Cache,LOGAN 19 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,11,0,0,11
Cache,LOGAN 20 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,104,2,0,106
Cache,LOGAN 21 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,105,1,0,106
Cache,LOGAN 22 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,128,1,0,129
Cache,LOGAN 23 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,6,0,0,6
Cache,LOGAN 24 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,46,1,0,47
Cache,LOGAN 25 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,43,0,0,43
Cache,LOGAN 26 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,40,1,0,41
Cache,LOGAN 27I ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,27,0,0,27
Cache,LOGAN 27U ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,0,0,0,0
Cache,LOGAN 27CSD ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,2,0,0,2
Cache,LOGAN 27:17C ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,0,0,0,0
Cache,LOGAN 28 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,9,0,0,9
Cache,LOGAN 29 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,108,0,0,108
Cache,LOGAN 29CSD ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,0,0,0,0
Cache,LOGAN 30 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,35,0,0,35
Cache,LOGAN 31 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,29,0,0,29
Cache,LOGAN 32 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,19,0,0,19
Cache,LOGAN 33 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,32,0,0,32
Cache,LOGAN 33.5 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,11,0,0,11
Cache,LOGAN 33CSD ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,3,0,0,3
Cache,AMALGA ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,17,0,0,17
Cache,BENSON ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,22,0,0,22
Cache,CLARKSTON ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,19,0,0,19
Cache,COLLEGE/YOUNG WARD ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,29,0,0,29
Cache,CORNISH ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,7,0,0,7
Cache,COVE ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,20,0,0,20
Cache,HYDE PARK 01 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,72,0,0,72
Cache,HYDE PARK 02 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,90,0,0,90
Cache,HYRUM 01 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,62,1,0,63
Cache,HYRUM 02 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,19,1,0,20
Cache,HYRUM 03 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,39,1,0,40
Cache,HYRUM 04 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,46,0,0,46
Cache,HYRUM 05 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,23,0,0,23
Cache,LEWISTON 01 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,23,0,0,23
Cache,LEWISTON 02 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,15,0,0,15
Cache,MENDON 01 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,8,0,0,8
Cache,MENDON 02 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,76,0,0,76
Cache,MILLVILLE 17 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,9,0,0,9
Cache,MILLVILLE 25 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,50,0,0,50
Cache,NEWTON ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,41,0,0,41
Cache,NIBLEY 01 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,30,0,0,30
Cache,NIBLEY 03 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,67,0,0,67
Cache,Nibley 17 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,26,0,0,26
Cache,Nibley 25 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,0,0,0,0
Cache,NORTH LOGAN 01 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,52,0,0,52
Cache,NORTH LOGAN 02 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,45,0,0,45
Cache,NORTH LOGAN 03 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,48,0,0,48
Cache,NORTH LOGAN 04 ,ATTORNEY GENERAL ,,CHARLES A. STORMONT ,DEM ,72,0,0,72
