county,precinct,office,district,party,candidate,absentee,early_voting,election_day,provisional,votes
Uintah,Jensen 1,Registered Voters,,,,,,,,519
Uintah,Davis East 2,Registered Voters,,,,,,,,522
Uintah,Davis West 3,Registered Voters,,,,,,,,545
Uintah,Naples 4,Registered Voters,,,,,,,,1036
Uintah,South 5,Registered Voters,,,,,,,,993
Uintah,Maeser East 6,Registered Voters,,,,,,,,743
Uintah,Maeser Dry Fork 7,Registered Voters,,,,,,,,680
Uintah,Vernal 8,Registered Voters,,,,,,,,626
Uintah,Vernal 9,Registered Voters,,,,,,,,407
Uintah,Vernal 10,Registered Voters,,,,,,,,546
Uintah,Vernal 11,Registered Voters,,,,,,,,454
Uintah,Vernal 12,Registered Voters,,,,,,,,498
Uintah,Vernal 13,Registered Voters,,,,,,,,476
Uintah,Vernal 14,Registered Voters,,,,,,,,302
Uintah,Ashley East 15,Registered Voters,,,,,,,,633
Uintah,Avalon Willows 16,Registered Voters,,,,,,,,218
Uintah,Glines South 17,Registered Voters,,,,,,,,449
Uintah,Fort Duchesne 18,Registered Voters,,,,,,,,376
Uintah,Ballard 19,Registered Voters,,,,,,,,606
Uintah,Whiterocks 20,Registered Voters,,,,,,,,112
Uintah,Lapoint Tridell 21,Registered Voters,,,,,,,,651
Uintah,Ashley West 22,Registered Voters,,,,,,,,519
Uintah,Glines North 23,Registered Voters,,,,,,,,610
Uintah,Davis North 24,Registered Voters,,,,,,,,361
Uintah,Maeser West 25,Registered Voters,,,,,,,,739
Uintah,South West 26,Registered Voters,,,,,,,,530
Uintah,Jensen 1,Ballots Cast,,,,10,21,232,1,264
Uintah,Davis East 2,Ballots Cast,,,,8,27,157,1,193
Uintah,Davis West 3,Ballots Cast,,,,5,22,144,0,171
Uintah,Naples 4,Ballots Cast,,,,9,54,371,6,440
Uintah,South 5,Ballots Cast,,,,11,74,280,4,369
Uintah,Maeser East 6,Ballots Cast,,,,27,50,230,6,313
Uintah,Maeser Dry Fork 7,Ballots Cast,,,,36,41,217,6,300
Uintah,Vernal 8,Ballots Cast,,,,19,62,217,0,298
Uintah,Vernal 9,Ballots Cast,,,,12,36,126,2,176
Uintah,Vernal 10,Ballots Cast,,,,27,39,144,1,211
Uintah,Vernal 11,Ballots Cast,,,,14,41,169,2,226
Uintah,Vernal 12,Ballots Cast,,,,7,38,129,4,178
Uintah,Vernal 13,Ballots Cast,,,,8,23,105,3,139
Uintah,Vernal 14,Ballots Cast,,,,5,21,73,2,101
Uintah,Ashley East 15,Ballots Cast,,,,12,49,184,1,246
Uintah,Avalon Willows 16,Ballots Cast,,,,8,4,68,0,80
Uintah,Glines South 17,Ballots Cast,,,,17,39,127,3,186
Uintah,Fort Duchesne 18,Ballots Cast,,,,7,1,111,1,120
Uintah,Ballard 19,Ballots Cast,,,,15,11,205,5,236
Uintah,Whiterocks 20,Ballots Cast,,,,24,2,15,1,42
Uintah,Lapoint Tridell 21,Ballots Cast,,,,17,32,266,1,316
Uintah,Ashley West 22,Ballots Cast,,,,43,52,168,1,264
Uintah,Glines North 23,Ballots Cast,,,,10,56,167,3,236
Uintah,Davis North 24,Ballots Cast,,,,16,15,105,0,136
Uintah,Maeser West 25,Ballots Cast,,,,19,68,230,3,320
Uintah,South West 26,Ballots Cast,,,,9,39,203,1,252
Uintah,Jensen 1,Straight Party,,LIB,,0,0,1,0,1
Uintah,Davis East 2,Straight Party,,LIB,,0,0,0,0,0
Uintah,Davis West 3,Straight Party,,LIB,,0,0,1,0,1
Uintah,Naples 4,Straight Party,,LIB,,0,0,3,0,3
Uintah,South 5,Straight Party,,LIB,,0,0,1,0,1
Uintah,Maeser East 6,Straight Party,,LIB,,0,0,1,0,1
Uintah,Maeser Dry Fork 7,Straight Party,,LIB,,0,0,1,0,1
Uintah,Vernal 8,Straight Party,,LIB,,0,0,0,0,0
Uintah,Vernal 9,Straight Party,,LIB,,0,0,0,0,0
Uintah,Vernal 10,Straight Party,,LIB,,0,0,1,0,1
Uintah,Vernal 11,Straight Party,,LIB,,0,0,2,0,2
Uintah,Vernal 12,Straight Party,,LIB,,0,1,2,0,3
Uintah,Vernal 13,Straight Party,,LIB,,0,2,0,0,2
Uintah,Vernal 14,Straight Party,,LIB,,0,0,0,0,0
Uintah,Ashley East 15,Straight Party,,LIB,,0,0,1,0,1
Uintah,Avalon Willows 16,Straight Party,,LIB,,0,0,1,0,1
Uintah,Glines South 17,Straight Party,,LIB,,0,1,1,0,2
Uintah,Fort Duchesne 18,Straight Party,,LIB,,0,0,1,0,1
Uintah,Ballard 19,Straight Party,,LIB,,0,0,0,0,0
Uintah,Whiterocks 20,Straight Party,,LIB,,0,0,0,0,0
Uintah,Lapoint Tridell 21,Straight Party,,LIB,,0,0,1,0,1
Uintah,Ashley West 22,Straight Party,,LIB,,0,0,0,0,0
Uintah,Glines North 23,Straight Party,,LIB,,0,0,0,0,0
Uintah,Davis North 24,Straight Party,,LIB,,0,0,0,0,0
Uintah,Maeser West 25,Straight Party,,LIB,,0,0,3,0,3
Uintah,South West 26,Straight Party,,LIB,,0,0,0,0,0
Uintah,Jensen 1,Straight Party,,IAP,,0,0,4,0,4
Uintah,Davis East 2,Straight Party,,IAP,,0,0,2,0,2
Uintah,Davis West 3,Straight Party,,IAP,,0,0,3,0,3
Uintah,Naples 4,Straight Party,,IAP,,0,1,7,0,8
Uintah,South 5,Straight Party,,IAP,,0,1,3,0,4
Uintah,Maeser East 6,Straight Party,,IAP,,0,0,3,1,4
Uintah,Maeser Dry Fork 7,Straight Party,,IAP,,0,2,2,0,4
Uintah,Vernal 8,Straight Party,,IAP,,0,0,3,0,3
Uintah,Vernal 9,Straight Party,,IAP,,0,0,0,0,0
