candidate,office,district,party,county,precinct,election_day,absentee,provisional,early_voting,votes
,Registered Voters,,,Piute,Marysvale 1-1,229,229,229,229,229
,Ballots Cast,,,Piute,Marysvale 1-1,108,24,0,23,155
,Straight Party,,LIB,Piute,Marysvale 1-1,0,0,0,0,0
,Straight Party,,IAP,Piute,Marysvale 1-1,1,0,0,0,1
,Straight Party,,REP,Piute,Marysvale 1-1,28,10,0,4,42
,Straight Party,,CON,Piute,Marysvale 1-1,0,0,0,0,0
,Straight Party,,DEM,Piute,Marysvale 1-1,6,0,0,1,7
Shaun McCausland,US House,2,CON,Piute,Marysvale 1-1,1,0,0,0,1
Wayne L. Hill,US House,2,IAP,Piute,Marysvale 1-1,2,1,0,3,6
Chris Stewart,US House,2,REP,Piute,Marysvale 1-1,86,22,0,17,125
Luz Robles,US House,2,DEM,Piute,Marysvale 1-1,13,1,0,3,17
Bill Barron,US House,2,,Piute,Marysvale 1-1,0,0,0,0,0
W Andrew McCullough,Attorney General,,LIB,Piute,Marysvale 1-1,0,0,0,0,0
Gregory G. Hansen,Attorney General,,CON,Piute,Marysvale 1-1,4,1,0,0,5
Charles A. Stormont,Attorney General,,DEM,Piute,Marysvale 1-1,14,1,0,2,17
Sean D Reyes,Attorney General,,REP,Piute,Marysvale 1-1,83,22,0,20,125
Leslie D Curtis,Attorney General,,IAP,Piute,Marysvale 1-1,1,0,0,1,2
Michael Noel,State House,73,REP,Piute,Marysvale 1-1,86,24,0,19,129
,Registered Voters,,,Piute,Marysvale 1-2,90,90,90,90,90
,Ballots Cast,,,Piute,Marysvale 1-2,37,2,0,8,47
,Straight Party,,LIB,Piute,Marysvale 1-2,0,0,0,0,0
,Straight Party,,IAP,Piute,Marysvale 1-2,0,0,0,0,0
,Straight Party,,REP,Piute,Marysvale 1-2,8,0,0,0,8
,Straight Party,,CON,Piute,Marysvale 1-2,0,0,0,0,0
,Straight Party,,DEM,Piute,Marysvale 1-2,3,0,0,0,3
Shaun McCausland,US House,2,CON,Piute,Marysvale 1-2,3,0,0,0,3
Wayne L. Hill,US House,2,IAP,Piute,Marysvale 1-2,0,0,0,0,0
Chris Stewart,US House,2,REP,Piute,Marysvale 1-2,29,2,0,8,39
Luz Robles,US House,2,DEM,Piute,Marysvale 1-2,3,0,0,0,3
Bill Barron,US House,2,,Piute,Marysvale 1-2,0,0,0,0,0
W Andrew McCullough,Attorney General,,LIB,Piute,Marysvale 1-2,1,0,0,0,1
Gregory G. Hansen,Attorney General,,CON,Piute,Marysvale 1-2,3,0,0,0,3
Charles A. Stormont,Attorney General,,DEM,Piute,Marysvale 1-2,4,0,0,1,5
Sean D Reyes,Attorney General,,REP,Piute,Marysvale 1-2,27,2,0,7,36
Leslie D Curtis,Attorney General,,IAP,Piute,Marysvale 1-2,0,0,0,0,0
Michael Noel,State House,73,REP,Piute,Marysvale 1-2,30,2,0,7,39
,Registered Voters,,,Piute,Junction 2,112,112,112,112,112
,Ballots Cast,,,Piute,Junction 2,47,14,0,20,81
,Straight Party,,LIB,Piute,Junction 2,1,0,0,0,1
,Straight Party,,IAP,Piute,Junction 2,1,0,0,0,1
,Straight Party,,REP,Piute,Junction 2,10,2,0,4,16
,Straight Party,,CON,Piute,Junction 2,0,0,0,0,0
,Straight Party,,DEM,Piute,Junction 2,2,0,0,2,4
Shaun McCausland,US House,2,CON,Piute,Junction 2,1,0,0,1,2
Wayne L. Hill,US House,2,IAP,Piute,Junction 2,2,0,0,1,3
Chris Stewart,US House,2,REP,Piute,Junction 2,37,11,0,13,61
Luz Robles,US House,2,DEM,Piute,Junction 2,2,0,0,3,5
Bill Barron,US House,2,,Piute,Junction 2,2,0,0,0,2
W Andrew McCullough,Attorney General,,LIB,Piute,Junction 2,4,1,0,1,6
Gregory G. Hansen,Attorney General,,CON,Piute,Junction 2,1,0,0,1,2
Charles A. Stormont,Attorney General,,DEM,Piute,Junction 2,2,2,0,3,7
Sean D Reyes,Attorney General,,REP,Piute,Junction 2,34,7,0,13,54
Leslie D Curtis,Attorney General,,IAP,Piute,Junction 2,2,0,0,0,2
Michael Noel,State House,73,REP,Piute,Junction 2,38,10,0,17,65
