county,precinct,office,district,Candidate,party,Polling,Early,Absentee,Paper,Provisional,votes
Washington,AV51,Registered Voters,,,,365,365,365,365,365,365
Washington,COAND,Registered Voters,,,,3,3,3,3,3,3
Washington,COCDSR,Registered Voters,,,,108,108,108,108,108,108
Washington,COCNBR,Registered Voters,,,,201,201,201,201,201,201
Washington,CODAV,Registered Voters,,,,467,467,467,467,467,467
Washington,CODIV,Registered Voters,,,,607,607,607,607,607,607
Washington,CODXDR,Registered Voters,,,,254,254,254,254,254,254
Washington,COGL,Registered Voters,,,,50,50,50,50,50,50
Washington,COGUBL,Registered Voters,,,,2,2,2,2,2,2
Washington,COHS74,Registered Voters,,,,26,26,26,26,26,26
Washington,COHV28,Registered Voters,,,,24,24,24,24,24,24
Washington,COHV29,Registered Voters,,,,5,5,5,5,5,5
Washington,COLEED,Registered Voters,,,,175,175,175,175,175,175
Washington,CONCF,Registered Voters,,,,122,122,122,122,122,122
Washington,CONH,Registered Voters,,,,573,573,573,573,573,573
Washington,COPINE,Registered Voters,,,,123,123,123,123,123,123
Washington,COSN28,Registered Voters,,,,33,33,33,33,33,33
Washington,COVE,Registered Voters,,,,257,257,257,257,257,257
Washington,COWH,Registered Voters,,,,588,588,588,588,588,588
Washington,EN82,Registered Voters,,,,758,758,758,758,758,758
Washington,HIL97,Registered Voters,,,,340,340,340,340,340,340
Washington,HU52,Registered Voters,,,,790,790,790,790,790,790
Washington,HU53,Registered Voters,,,,834,834,834,834,834,834
Washington,HU54,Registered Voters,,,,807,807,807,807,807,807
Washington,HU55,Registered Voters,,,,545,545,545,545,545,545
Washington,HU56,Registered Voters,,,,948,948,948,948,948,948
Washington,HU57,Registered Voters,,,,1157,1157,1157,1157,1157,1157
Washington,HU58,Registered Voters,,,,908,908,908,908,908,908
Washington,HU59,Registered Voters,,,,726,726,726,726,726,726
Washington,IV76,Registered Voters,,,,905,905,905,905,905,905
Washington,IV77,Registered Voters,,,,862,862,862,862,862,862
Washington,IV78,Registered Voters,,,,1026,1026,1026,1026,1026,1026
Washington,IV79,Registered Voters,,,,995,995,995,995,995,995
Washington,LA85,Registered Voters,,,,646,646,646,646,646,646
Washington,LA86,Registered Voters,,,,601,601,601,601,601,601
Washington,LA87,Registered Voters,,,,526,526,526,526,526,526
Washington,LE90,Registered Voters,,,,429,429,429,429,429,429
Washington,NH93,Registered Voters,,,,127,127,127,127,127,127
Washington,RC94,Registered Voters,,,,167,167,167,167,167,167
Washington,SC71,Registered Voters,,,,997,997,997,997,997,997
Washington,SC72,Registered Voters,,,,610,610,610,610,610,610
Washington,SC73,Registered Voters,,,,633,633,633,633,633,633
Washington,SC74,Registered Voters,,,,1107,1107,1107,1107,1107,1107
Washington,SG01,Registered Voters,,,,576,576,576,576,576,576
Washington,SG02,Registered Voters,,,,552,552,552,552,552,552
Washington,SG03,Registered Voters,,,,628,628,628,628,628,628
Washington,SG04,Registered Voters,,,,478,478,478,478,478,478
Washington,SG05,Registered Voters,,,,571,571,571,571,571,571
Washington,SG06,Registered Voters,,,,743,743,743,743,743,743
Washington,SG07,Registered Voters,,,,676,676,676,676,676,676
Washington,SG08,Registered Voters,,,,748,748,748,748,748,748
Washington,SG09,Registered Voters,,,,778,778,778,778,778,778
Washington,SG10,Registered Voters,,,,423,423,423,423,423,423
Washington,SG11,Registered Voters,,,,597,597,597,597,597,597
Washington,SG12,Registered Voters,,,,830,830,830,830,830,830
Washington,SG13,Registered Voters,,,,811,811,811,811,811,811
Washington,SG14,Registered Voters,,,,1163,1163,1163,1163,1163,1163
Washington,SG15,Registered Voters,,,,898,898,898,898,898,898
Washington,SG16,Registered Voters,,,,717,717,717,717,717,717
Washington,SG17,Registered Voters,,,,902,902,902,902,902,902
Washington,SG18,Registered Voters,,,,881,881,881,881,881,881
Washington,SG19,Registered Voters,,,,901,901,901,901,901,901
Washington,SG20,Registered Voters,,,,1074,1074,1074,1074,1074,1074
Washington,SG21,Registered Voters,,,,931,931,931,931,931,931
Washington,SG22,Registered Voters,,,,956,956,956,956,956,956
Washington,SG23,Registered Voters,,,,892,892,892,892,892,892
Washington,SG24,Registered Voters,,,,507,507,507,507,507,507
Washington,SG25,Registered Voters,,,,641,641,641,641,641,641
Washington,SG26,Registered Voters,,,,718,718,718,718,718,718
Washington,SG27,Registered Voters,,,,853,853,853,853,853,853
Washington,SG28,Registered Voters,,,,999,999,999,999,999,999
Washington,SG29,Registered Voters,,,,856,856,856,856,856,856
Washington,SG30,Registered Voters,,,,1083,1083,1083,1083,1083,1083
Washington,SG31,Registered Voters,,,,856,856,856,856,856,856
Washington,SG32,Registered Voters,,,,896,896,896,896,896,896
Washington,SG33,Registered Voters,,,,603,603,603,603,603,603
Washington,SG34,Registered Voters,,,,913,913,913,913,913,913
Washington,SG35,Registered Voters,,,,741,741,741,741,741,741
Washington,SG36,Registered Voters,,,,808,808,808,808,808,808
Washington,SG37,Registered Voters,,,,845,845,845,845,845,845
Washington,SG38,Registered Voters,,,,829,829,829,829,829,829
Washington,SG39,Registered Voters,,,,905,905,905,905,905,905
Washington,SG40,Registered Voters,,,,749,749,749,749,749,749
Washington,SG41,Registered Voters,,,,664,664,664,664,664,664
Washington,SG42,Registered Voters,,,,656,656,656,656,656,656
Washington,SG43,Registered Voters,,,,577,577,577,577,577,577
Washington,SG44,Registered Voters,,,,314,314,314,314,314,314
Washington,SG45,Registered Voters,,,,778,778,778,778,778,778
Washington,SG46,Registered Voters,,,,767,767,767,767,767,767
Washington,SP95,Registered Voters,,,,289,289,289,289,289,289
Washington,TQ96,Registered Voters,,,,799,799,799,799,799,799
Washington,VI89,Registered Voters,,,,275,275,275,275,275,275
Washington,WA60,Registered Voters,,,,1056,1056,1056,1056,1056,1056
Washington,WA61,Registered Voters,,,,914,914,914,914,914,914
Washington,WA62,Registered Voters,,,,760,760,760,760,760,760
Washington,WA63,Registered Voters,,,,892,892,892,892,892,892
Washington,WA64,Registered Voters,,,,977,977,977,977,977,977
Washington,WA65,Registered Voters,,,,1001,1001,1001,1001,1001,1001
Washington,WA66,Registered Voters,,,,969,969,969,969,969,969
Washington,WA67,Registered Voters,,,,1013,1013,1013,1013,1013,1013
Washington,WA68,Registered Voters,,,,1224,1224,1224,1224,1224,1224
Washington,WA69,Registered Voters,,,,379,379,379,379,379,379
Washington,Total,Registered Voters,,,,67259,67259,67259,67259,67259,67259
Washington,AV51,Ballots Cast,,,,0,0,156,0,1,157
Washington,COAND,Ballots Cast,,,,0,0,3,0,0,3
Washington,COCDSR,Ballots Cast,,,,0,0,57,0,0,57
Washington,COCNBR,Ballots Cast,,,,0,0,118,0,0,118
Washington,CODAV,Ballots Cast,,,,0,3,295,0,0,298
Washington,CODIV,Ballots Cast,,,,217,7,27,0,8,259
Washington,CODXDR,Ballots Cast,,,,0,1,159,0,0,160
Washington,COGL,Ballots Cast,,,,0,0,24,0,0,24
Washington,COGUBL,Ballots Cast,,,,0,0,2,0,0,2
Washington,COHS74,Ballots Cast,,,,0,0,10,0,1,11
Washington,COHV28,Ballots Cast,,,,0,0,9,0,0,9
Washington,COHV29,Ballots Cast,,,,0,0,4,0,0,4
Washington,COLEED,Ballots Cast,,,,0,0,88,0,0,88
Washington,CONCF,Ballots Cast,,,,41,3,5,0,4,53
Washington,CONH,Ballots Cast,,,,195,9,87,0,3,294
Washington,COPINE,Ballots Cast,,,,0,0,79,0,0,79
Washington,COSN28,Ballots Cast,,,,0,0,15,0,0,15
Washington,COVE,Ballots Cast,,,,0,1,141,0,0,142
Washington,COWH,Ballots Cast,,,,212,42,39,0,9,302
Washington,EN82,Ballots Cast,,,,338,5,13,0,9,365
Washington,HIL97,Ballots Cast,,,,0,0,106,0,0,106
Washington,HU52,Ballots Cast,,,,243,25,42,0,10,320
Washington,HU53,Ballots Cast,,,,309,36,37,0,19,401
Washington,HU54,Ballots Cast,,,,247,32,101,2,6,388
Washington,HU55,Ballots Cast,,,,182,23,35,0,9,249
Washington,HU56,Ballots Cast,,,,239,100,106,0,4,449
Washington,HU57,Ballots Cast,,,,354,39,83,0,14,490
Washington,HU58,Ballots Cast,,,,329,54,47,0,2,432
Washington,HU59,Ballots Cast,,,,194,57,45,0,5,301
Washington,IV76,Ballots Cast,,,,337,85,89,0,11,522
Washington,IV77,Ballots Cast,,,,282,47,64,0,11,404
Washington,IV78,Ballots Cast,,,,308,161,155,0,15,639
Washington,IV79,Ballots Cast,,,,342,53,63,0,3,461
Washington,LA85,Ballots Cast,,,,239,17,39,0,4,299
Washington,LA86,Ballots Cast,,,,209,18,18,0,3,248
Washington,LA87,Ballots Cast,,,,197,12,19,0,7,235
Washington,LE90,Ballots Cast,,,,0,0,256,0,2,258
Washington,NH93,Ballots Cast,,,,46,3,16,0,1,66
Washington,RC94,Ballots Cast,,,,0,0,111,0,0,111
Washington,SC71,Ballots Cast,,,,302,43,44,1,13,403
Washington,SC72,Ballots Cast,,,,211,38,28,0,9,286
Washington,SC73,Ballots Cast,,,,197,41,45,0,5,288
Washington,SC74,Ballots Cast,,,,368,135,71,0,13,587
Washington,SG01,Ballots Cast,,,,144,61,39,0,10,254
Washington,SG02,Ballots Cast,,,,123,23,27,0,5,178
Washington,SG03,Ballots Cast,,,,206,41,47,2,24,320
Washington,SG04,Ballots Cast,,,,126,15,26,0,4,171
Washington,SG05,Ballots Cast,,,,157,29,57,0,1,244
Washington,SG06,Ballots Cast,,,,177,21,30,0,11,239
Washington,SG07,Ballots Cast,,,,175,43,42,0,12,272
Washington,SG08,Ballots Cast,,,,211,26,51,0,8,296
Washington,SG09,Ballots Cast,,,,145,62,69,0,8,284
Washington,SG10,Ballots Cast,,,,133,36,36,1,5,211
Washington,SG11,Ballots Cast,,,,191,39,41,0,16,287
Washington,SG12,Ballots Cast,,,,195,32,76,0,11,314
Washington,SG13,Ballots Cast,,,,156,28,53,0,15,252
Washington,SG14,Ballots Cast,,,,352,96,125,0,18,591
Washington,SG15,Ballots Cast,,,,234,49,50,0,7,340
Washington,SG16,Ballots Cast,,,,189,62,64,0,7,322
Washington,SG17,Ballots Cast,,,,253,112,122,0,4,491
Washington,SG18,Ballots Cast,,,,250,39,66,0,15,370
